.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013270_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013271_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013272_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013273_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013290_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013293_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013294_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013305_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013306_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	0.25	0.25	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	0.25	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	0.25	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013317_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013320_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	0.25	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013322_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013322_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013323_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013323_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013324_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013324_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013325_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013326_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013327_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013328_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	0.25	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.25	1	0.5	1	1	1
SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	0.25	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
