Sample	Unique Reads	Duplicate Reads
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	535279.0	181392.0
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	387168.0	115165.0
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	407698.0	94635.0
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	476804.0	186306.0
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	506739.0	156371.0
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	419092.0	150517.0
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	450635.0	118974.0
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	496243.0	215474.0
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	527521.0	184196.0
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	358632.0	88870.0
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	371048.0	76454.0
SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	483350.0	190839.0
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	673065.0	350069.0
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	701108.0	322026.0
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	679582.0	358883.0
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	718384.0	320081.0
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	630547.0	305385.0
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	667635.0	268297.0
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	592819.0	279026.0
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	631759.0	240086.0
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	439997.0	145774.0
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	462412.0	123359.0
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	397227.0	121800.0
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	418021.0	101006.0
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	480780.0	199831.0
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	516335.0	164276.0
SRR27013290_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	593937.0	219514.0
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	681330.0	326441.0
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	713989.0	293782.0
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	343249.0	96042.0
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	360559.0	78732.0
SRR27013293_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	664436.0	332454.0
SRR27013294_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	719833.0	267509.0
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	498855.0	180366.0
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	518045.0	161176.0
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	413103.0	129383.0
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	429955.0	112531.0
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	589897.0	236204.0
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	621207.0	204894.0
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	573324.0	193862.0
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	575070.0	192116.0
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	579988.0	233184.0
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	613153.0	200019.0
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	520239.0	164840.0
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	521594.0	163485.0
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	544155.0	200967.0
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	572616.0	172506.0
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	569325.0	215191.0
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	598679.0	185837.0
