Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR27013269_2	(16.0, 1.0)	(17.0, 3.0)	(18.0, 10.0)	(19.0, 43.0)	(20.0, 1422.0)	(21.0, 5183.0)	(22.0, 7205.0)	(23.0, 8773.0)	(24.0, 10638.0)	(25.0, 12636.0)	(26.0, 15409.0)	(27.0, 18354.0)	(28.0, 22116.0)	(29.0, 26815.0)	(30.0, 32560.0)	(31.0, 39827.0)	(32.0, 49431.0)	(33.0, 62981.0)	(34.0, 79316.0)	(35.0, 99239.0)	(36.0, 117521.0)	(37.0, 138657.0)
SRR27013270_1	(30.0, 414930.0)																					
SRR27013270_2	(30.0, 414930.0)																					
SRR27013271_1	(30.0, 766488.0)																					
SRR27013271_2	(30.0, 766488.0)																					
SRR27013272_1	(30.0, 663994.0)																					
SRR27013272_2	(30.0, 663994.0)																					
SRR27013273_1	(30.0, 917324.0)																					
SRR27013273_2	(30.0, 917324.0)																					
SRR27013274_1	(30.0, 970245.0)																					
SRR27013274_2	(30.0, 970245.0)																					
SRR27013275_1	(30.0, 1051245.0)																					
SRR27013275_2	(30.0, 1051245.0)																					
SRR27013276_1	(30.0, 715620.0)																					
SRR27013276_2	(30.0, 715620.0)																					
SRR27013277_1	(30.0, 502249.0)																					
SRR27013277_2	(30.0, 502249.0)																					
SRR27013278_1	(30.0, 662667.0)																					
SRR27013278_2	(30.0, 662667.0)																					
SRR27013279_1	(30.0, 569516.0)																					
SRR27013279_2	(30.0, 569516.0)																					
SRR27013280_1	(30.0, 711439.0)																					
SRR27013280_2	(30.0, 711439.0)																					
SRR27013281_1	(30.0, 447184.0)																					
SRR27013281_2	(30.0, 447184.0)																					
SRR27013282_1	(30.0, 673885.0)																					
SRR27013282_2	(30.0, 673885.0)																					
SRR27013283_1	(30.0, 1021183.0)																					
SRR27013283_2	(30.0, 1021183.0)																					
SRR27013284_1	(30.0, 1036957.0)																					
SRR27013284_2	(30.0, 1036957.0)																					
SRR27013285_1	(30.0, 934260.0)																					
SRR27013285_2	(30.0, 934260.0)																					
SRR27013286_1	(30.0, 870619.0)																					
SRR27013286_2	(30.0, 870619.0)																					
