.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR27013288_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013288_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013289_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013289_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013290_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013290_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013291_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013291_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013292_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013292_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013293_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013293_2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013294_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013294_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013295_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013295_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013296_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013296_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013297_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013297_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013298_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013298_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013299_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013299_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013300_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013300_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013301_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013301_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013302_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013302_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013303_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013303_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013304_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR27013304_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013305_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013305_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013306_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013306_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013307_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013307_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013308_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013308_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013309_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013309_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013310_1	1	0.25	0.25	1	0.25	1	1	0.5	1	1	1
SRR27013310_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR27013311_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013311_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013312_1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR27013312_2	1	0.25	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013313_1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR27013313_2	1	0.25	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013314_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013314_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013315_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013315_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013316_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013316_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013317_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013317_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013318_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013318_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013319_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013319_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013320_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013320_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013321_1	1	0.5	0.5	1	0.25	1	1	0.5	1	1	1
SRR27013321_2	1	0.25	1	1	0.25	1	1	0.5	1	1	1
SRR27013322_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013322_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013323_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013323_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013324_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013324_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013325_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013325_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013326_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013326_2	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013327_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013327_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013328_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013328_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013329_1	1	0.5	0.5	1	0.25	1	1	0.5	1	1	1
SRR27013329_2	1	0.25	0.5	1	0.25	1	1	0.5	1	1	1
SRR27013330_1	1	0.5	0.5	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013330_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR27013331_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013331_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013332_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013332_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013333_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013333_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013334_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013334_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013335_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013335_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013336_1	1	0.5	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR27013336_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR27013337_1	1	1	1	1	0.25	0.25	1	0.5	0.5	1	1
SRR27013337_2	1	1	1	1	0.25	0.25	1	0.5	1	1	1
SRR27013338_1	1	1	0.25	1	0.25	1	1	0.5	0.5	1	1
SRR27013338_2	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
SRR27013339_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013339_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013340_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013340_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013341_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013341_2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013342_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013342_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013343_1	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
SRR27013343_2	1	1	1	1	0.25	0.5	1	0.5	0.5	1	1
