Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27013247_1	(1.0, 65.13376456209198)	(2.0, 19.377683692752562)	(3.0, 7.02350498267059)	(4.0, 3.18067420811394)	(5.0, 1.4831997143893643)	(6.0, 0.7404077136316326)	(7.0, 0.5023239744739887)	(8.0, 0.3485019914325018)	(9.0, 0.24411708551387734)	('>10', 1.8587503682435373)	('>50', 0.08173777608621)	('>100', 0.025333930599819473)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_2	(1.0, 70.30597751059496)	(2.0, 16.957234081297294)	(3.0, 5.9509841161262225)	(4.0, 2.573738985473259)	(5.0, 1.2179995546566054)	(6.0, 0.6380765448428191)	(7.0, 0.36328784507701606)	(8.0, 0.25709583397137525)	(9.0, 0.20785997807467627)	('>10', 1.4678275967766472)	('>50', 0.05991795310911292)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 65.13376456209198)	(2.0, 19.377683692752562)	(3.0, 7.02350498267059)	(4.0, 3.18067420811394)	(5.0, 1.4831997143893643)	(6.0, 0.7404077136316326)	(7.0, 0.5023239744739887)	(8.0, 0.3485019914325018)	(9.0, 0.24411708551387734)	('>10', 1.8587503682435373)	('>50', 0.08173777608621)	('>100', 0.025333930599819473)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 70.30597751059496)	(2.0, 16.957234081297294)	(3.0, 5.9509841161262225)	(4.0, 2.573738985473259)	(5.0, 1.2179995546566054)	(6.0, 0.6380765448428191)	(7.0, 0.36328784507701606)	(8.0, 0.25709583397137525)	(9.0, 0.20785997807467627)	('>10', 1.4678275967766472)	('>50', 0.05991795310911292)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013248_1	(1.0, 56.32896744052702)	(2.0, 20.625388910351003)	(3.0, 9.294433146050617)	(4.0, 4.532759292871101)	(5.0, 2.525913327798733)	(6.0, 1.4314280755645108)	(7.0, 0.929554908844518)	(8.0, 0.6554337135659886)	(9.0, 0.41845268669958213)	('>10', 2.9205689731041033)	('>50', 0.30188510640573546)	('>100', 0.035214418217098385)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013248_2	(1.0, 59.99890439947054)	(2.0, 19.268088848186547)	(3.0, 8.411361356685756)	(4.0, 4.096878583900917)	(5.0, 2.2553991265861786)	(6.0, 1.2440166791166578)	(7.0, 0.8260578577786464)	(8.0, 0.5517268724882228)	(9.0, 0.41989059021372593)	('>10', 2.6901871014252685)	('>50', 0.2201476235526105)	('>100', 0.01734096059491681)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013249_1	(1.0, 61.29644433772262)	(2.0, 20.714089339728446)	(3.0, 8.392543973558757)	(4.0, 3.8295768248680426)	(5.0, 1.9092174947133247)	(6.0, 1.1083280929704522)	(7.0, 0.5936841998061237)	(8.0, 0.43243071929159516)	(9.0, 0.2789986874601605)	('>10', 1.4021529752683992)	('>50', 0.04253335461211107)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013249_2	(1.0, 65.51462444895702)	(2.0, 18.958937475904712)	(3.0, 7.475703114566372)	(4.0, 3.4025892997548484)	(5.0, 1.5844627736828765)	(6.0, 0.9032569589138166)	(7.0, 0.5096428832583967)	(8.0, 0.31477679469644176)	(9.0, 0.22226031844087205)	('>10', 1.094129652715812)	('>50', 0.019616279108824058)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 61.29644433772262)	(2.0, 20.714089339728446)	(3.0, 8.392543973558757)	(4.0, 3.8295768248680426)	(5.0, 1.9092174947133247)	(6.0, 1.1083280929704522)	(7.0, 0.5936841998061237)	(8.0, 0.43243071929159516)	(9.0, 0.2789986874601605)	('>10', 1.4021529752683992)	('>50', 0.04253335461211107)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 65.51462444895702)	(2.0, 18.958937475904712)	(3.0, 7.475703114566372)	(4.0, 3.4025892997548484)	(5.0, 1.5844627736828765)	(6.0, 0.9032569589138166)	(7.0, 0.5096428832583967)	(8.0, 0.31477679469644176)	(9.0, 0.22226031844087205)	('>10', 1.094129652715812)	('>50', 0.019616279108824058)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
