Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27013261_1	(1.0, 58.31211509815933)	(2.0, 19.81547487607624)	(3.0, 8.682005930481157)	(4.0, 4.478903099627937)	(5.0, 2.3193171750275745)	(6.0, 1.461378918003687)	(7.0, 0.9124868229954132)	(8.0, 0.5980080977088537)	(9.0, 0.39342178441605336)	('>10', 2.6850912326319665)	('>50', 0.3251622181884139)	('>100', 0.01663474668338411)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013261_2	(1.0, 63.08433203630022)	(2.0, 17.809676616061882)	(3.0, 7.798980541711348)	(4.0, 3.9128652994666995)	(5.0, 2.066383271678358)	(6.0, 1.2355029666835415)	(7.0, 0.6859310608702124)	(8.0, 0.5287500560010997)	(9.0, 0.359173215820669)	('>10', 2.2781665981221737)	('>50', 0.2402383372838204)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013262_1	(1.0, 58.84956688163605)	(2.0, 21.00979571953292)	(3.0, 9.239249823364702)	(4.0, 4.311532551395032)	(5.0, 2.278823545962257)	(6.0, 1.2808046362648158)	(7.0, 0.7737871549767694)	(8.0, 0.47610922213408646)	(9.0, 0.3347228127612862)	('>10', 1.4182570180981795)	('>50', 0.02735063387393298)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013262_2	(1.0, 65.11871503873881)	(2.0, 18.57942218616776)	(3.0, 7.822424354589487)	(4.0, 3.6551464418988227)	(5.0, 1.6882637461288665)	(6.0, 0.9397027751445541)	(7.0, 0.5728688729473597)	(8.0, 0.35533485291186706)	(9.0, 0.1936058698977775)	('>10', 1.0479729617185558)	('>50', 0.02654289985613911)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013263_1	(1.0, 57.48768293373507)	(2.0, 20.136879811670834)	(3.0, 9.148464936672411)	(4.0, 4.506616884910701)	(5.0, 2.514681645507409)	(6.0, 1.445698269321458)	(7.0, 0.9669891246750711)	(8.0, 0.605217819114896)	(9.0, 0.46541286681741373)	('>10', 2.4627057653541584)	('>50', 0.2596499422205358)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013263_2	(1.0, 62.01319796780399)	(2.0, 18.33685792830065)	(3.0, 8.114203227731291)	(4.0, 4.098050723580679)	(5.0, 2.1453768402305466)	(6.0, 1.334799620806317)	(7.0, 0.7988959573842196)	(8.0, 0.5312202800952114)	(9.0, 0.4002590329040163)	('>10', 2.0693234669745433)	('>50', 0.15781495418853242)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013264_1	(1.0, 56.90736079264161)	(2.0, 20.5015130137439)	(3.0, 9.289280219341858)	(4.0, 4.709921746308689)	(5.0, 2.4556027846712247)	(6.0, 1.5586696759304888)	(7.0, 0.8625934369948053)	(8.0, 0.6697086514274918)	(9.0, 0.4572374012455167)	('>10', 2.3660492135801325)	('>50', 0.20695102194388448)	('>100', 0.015112042170344507)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013264_2	(1.0, 64.39070387840427)	(2.0, 17.664982581290094)	(3.0, 7.65378493454876)	(4.0, 3.7721045329193195)	(5.0, 1.896378841885492)	(6.0, 1.137573525303558)	(7.0, 0.6999668993709782)	(8.0, 0.5224959187275454)	(9.0, 0.3406523961915341)	('>10', 1.8583253040240908)	('>50', 0.06303118733436505)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013265_1	(1.0, 47.81420958425797)	(2.0, 20.516165326720724)	(3.0, 10.868831140289469)	(4.0, 6.383480152078043)	(5.0, 3.904878822879257)	(6.0, 2.3887631562686833)	(7.0, 1.6788611504213204)	(8.0, 1.1372749294835693)	(9.0, 0.8501784076101957)	('>10', 3.8686180532957484)	('>50', 0.511828672072145)	('>100', 0.07691060462291184)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013265_2	(1.0, 52.56396939495226)	(2.0, 19.58179883902278)	(3.0, 10.015720289260392)	(4.0, 5.609453044272611)	(5.0, 3.3764169917145614)	(6.0, 2.152386645845916)	(7.0, 1.3689278080940959)	(8.0, 0.9966861764598193)	(9.0, 0.6930280311502303)	('>10', 3.23160594548214)	('>50', 0.3617715064708023)	('>100', 0.04823532727438556)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013266_1	(1.0, 50.86421680940722)	(2.0, 20.705087052519037)	(3.0, 10.340699402206829)	(4.0, 5.677737269060573)	(5.0, 3.3840361268567545)	(6.0, 2.135200996820665)	(7.0, 1.3509924185927142)	(8.0, 0.9027286657559056)	(9.0, 0.6230792132497422)	('>10', 3.478447376450821)	('>50', 0.48326820627002065)	('>100', 0.05450646280975402)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013266_2	(1.0, 57.20447992734026)	(2.0, 18.758060164813394)	(3.0, 9.283345188014664)	(4.0, 4.852220224462606)	(5.0, 2.8143561828209593)	(6.0, 1.7812937010842067)	(7.0, 1.0369161869918844)	(8.0, 0.7231080460983454)	(9.0, 0.52146294891519)	('>10', 2.6210822855943468)	('>50', 0.36500506603365956)	('>100', 0.03867007783048318)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013267_1	(1.0, 52.610394855498434)	(2.0, 20.168873050315522)	(3.0, 9.934048989982292)	(4.0, 5.45885842716121)	(5.0, 3.271638116632351)	(6.0, 2.107230685756797)	(7.0, 1.2608898115884388)	(8.0, 0.8855415860056957)	(9.0, 0.651799191798149)	('>10', 3.3054309650327496)	('>50', 0.317070262748839)	('>100', 0.028224057479536806)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013267_2	(1.0, 55.484881841576964)	(2.0, 19.274242535432887)	(3.0, 9.341483579824741)	(4.0, 5.052100922690223)	(5.0, 3.129015812887205)	(6.0, 1.8513215675615888)	(7.0, 1.2040444711869847)	(8.0, 0.8370147876033133)	(9.0, 0.6018917582255676)	('>10', 2.9308344326382634)	('>50', 0.29316829037225256)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013268_1	(1.0, 46.423858340379894)	(2.0, 21.08195199150967)	(3.0, 11.312059682049295)	(4.0, 6.764713026765276)	(5.0, 4.122079169742748)	(6.0, 2.770876917345249)	(7.0, 1.7509439224364907)	(8.0, 1.1722597014045446)	(9.0, 0.7642712050159579)	('>10', 3.456036489578149)	('>50', 0.32756291298873996)	('>100', 0.053386640784063105)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013268_2	(1.0, 49.985568180290045)	(2.0, 20.269753792365275)	(3.0, 10.80697593254811)	(4.0, 6.236768507994041)	(5.0, 3.676114708996888)	(6.0, 2.381812808493047)	(7.0, 1.566437768913887)	(8.0, 1.0951504854624043)	(9.0, 0.7139754055340173)	('>10', 2.9970255024565047)	('>50', 0.24489983749022762)	('>100', 0.02551706945554722)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013269_1	(1.0, 55.18070134785227)	(2.0, 20.689403976610205)	(3.0, 9.566820578058294)	(4.0, 5.0595848056598625)	(5.0, 2.764792260141501)	(6.0, 1.745727480704444)	(7.0, 1.0574356789513784)	(8.0, 0.6920240251219424)	(9.0, 0.4745921633042392)	('>10', 2.5379736763183813)	('>50', 0.1895370424099277)	('>100', 0.04140696486756701)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013269_2	(1.0, 59.167532975146656)	(2.0, 19.438175709574164)	(3.0, 8.88934977886706)	(4.0, 4.350565098230154)	(5.0, 2.4636267691178637)	(6.0, 1.4771910359390361)	(7.0, 0.8764134612657503)	(8.0, 0.5819205538772387)	(9.0, 0.38934607717847136)	('>10', 2.18492093558386)	('>50', 0.16730547819872377)	('>100', 0.01365212702101586)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013270_1	(1.0, 68.74615931786907)	(2.0, 18.99861888725999)	(3.0, 6.633670846014339)	(4.0, 2.624344644080749)	(5.0, 1.1957878177575136)	(6.0, 0.5509616879055087)	(7.0, 0.34894274684354903)	(8.0, 0.1657932271392775)	(9.0, 0.15146489154446507)	('>10', 0.58425593358551)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013270_2	(1.0, 73.57215374495665)	(2.0, 16.720485769278543)	(3.0, 5.477400550259082)	(4.0, 1.9880185173802523)	(5.0, 0.8780754076220226)	(6.0, 0.49307165755459864)	(7.0, 0.24608856132015858)	(8.0, 0.12595297619546414)	(9.0, 0.11460491690027587)	('>10', 0.38414789853294035)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013271_1	(1.0, 55.15878374186847)	(2.0, 20.706094154237515)	(3.0, 9.684544553959913)	(4.0, 4.965134031457734)	(5.0, 2.868055693068113)	(6.0, 1.6867253263313873)	(7.0, 1.0333076558038181)	(8.0, 0.7164573860633922)	(9.0, 0.5071724936456908)	('>10', 2.5064925110713383)	('>50', 0.16723245249263824)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013271_2	(1.0, 60.70579634984284)	(2.0, 18.940966814188783)	(3.0, 8.55545906673118)	(4.0, 4.288028784259284)	(5.0, 2.3225939303995573)	(6.0, 1.4022094324756702)	(7.0, 0.8008555678556925)	(8.0, 0.543153950102457)	(9.0, 0.3906323037031643)	('>10', 1.935853698314935)	('>50', 0.11445010212641941)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013272_1	(1.0, 59.11465136443205)	(2.0, 19.925513146844384)	(3.0, 8.548184555752588)	(4.0, 4.236933322019617)	(5.0, 2.385094506741962)	(6.0, 1.3153283100816326)	(7.0, 0.8372938719430574)	(8.0, 0.5481898271337181)	(9.0, 0.4113126063546322)	('>10', 2.487095253231918)	('>50', 0.19040323546446086)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013272_2	(1.0, 63.04320497096002)	(2.0, 18.34529514884987)	(3.0, 7.959535175325007)	(4.0, 3.810587163702635)	(5.0, 1.9592716532035326)	(6.0, 1.1525615783253884)	(7.0, 0.6837798050636194)	(8.0, 0.5171923118539729)	(9.0, 0.3174015229315472)	('>10', 2.069613184818428)	('>50', 0.14155748496603043)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013273_1	(1.0, 48.70182016734768)	(2.0, 20.332803452967486)	(3.0, 10.503109922857425)	(4.0, 5.813005823096265)	(5.0, 3.5377204512840694)	(6.0, 2.2052298943303112)	(7.0, 1.420973747448711)	(8.0, 1.0075198276863322)	(9.0, 0.7638777367731134)	('>10', 4.715020332847043)	('>50', 0.8655627345699792)	('>100', 0.13335590879158962)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013273_2	(1.0, 54.49986846457651)	(2.0, 18.64903834439848)	(3.0, 9.43952664213549)	(4.0, 5.233618158489006)	(5.0, 3.065861582837539)	(6.0, 1.8467282644554286)	(7.0, 1.223322337489821)	(8.0, 0.8519358080477385)	(9.0, 0.5427982970898672)	('>10', 3.87927063000607)	('>50', 0.6454417115981725)	('>100', 0.12258975887588593)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013274_1	(1.0, 50.90071541711768)	(2.0, 20.682199272559668)	(3.0, 10.606790512928002)	(4.0, 5.610997571324307)	(5.0, 3.409321154184893)	(6.0, 2.0059457794206654)	(7.0, 1.3396563503958732)	(8.0, 0.9622716465463058)	(9.0, 0.7032694563205797)	('>10', 3.292000881036985)	('>50', 0.4381487623485501)	('>100', 0.04868319581650557)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013274_2	(1.0, 57.08261661364149)	(2.0, 18.761945591455333)	(3.0, 9.061133869396516)	(4.0, 5.1233630439799285)	(5.0, 2.8440872911865256)	(6.0, 1.7828878379597162)	(7.0, 1.0228576087516823)	(8.0, 0.7349185450834854)	(9.0, 0.520156219601552)	('>10', 2.7478253964538597)	('>50', 0.29201439548985797)	('>100', 0.02619358700005431)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013275_1	(1.0, 49.23629902629782)	(2.0, 20.371386737410514)	(3.0, 10.639664859584116)	(4.0, 5.748646784753188)	(5.0, 3.561293903098349)	(6.0, 2.337503760756212)	(7.0, 1.5133115771532868)	(8.0, 1.020100914038925)	(9.0, 0.7314028287154752)	('>10', 4.033924227229051)	('>50', 0.6580619953032066)	('>100', 0.14840338565985464)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013275_2	(1.0, 52.73443428815868)	(2.0, 19.395595540619322)	(3.0, 9.940428435884147)	(4.0, 5.3370175573241525)	(5.0, 3.2271589958480438)	(6.0, 2.1612636563743624)	(7.0, 1.306054783316007)	(8.0, 0.9177312213331669)	(9.0, 0.7103151618969586)	('>10', 3.5298038433515053)	('>50', 0.5820022442731748)	('>100', 0.15819427162052233)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013276_1	(1.0, 57.0007907033842)	(2.0, 18.92857791973947)	(3.0, 8.708158431358115)	(4.0, 4.354215251638043)	(5.0, 2.422944144475805)	(6.0, 1.3981431846380883)	(7.0, 0.9733799926409856)	(8.0, 0.660715169794224)	(9.0, 0.48925618544927846)	('>10', 4.235863331307494)	('>50', 0.7387157918837834)	('>100', 0.0892398936904931)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013276_2	(1.0, 61.596227283966066)	(2.0, 17.265215798614847)	(3.0, 7.643072338742593)	(4.0, 3.7644309850392603)	(5.0, 2.020159032351537)	(6.0, 1.2442815580830184)	(7.0, 0.8544849045279637)	(8.0, 0.5753413141845554)	(9.0, 0.46030944930235396)	('>10', 3.8917830283379766)	('>50', 0.5623376742916157)	('>100', 0.12235663255823531)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013277_1	(1.0, 62.713225676094034)	(2.0, 19.97521979749272)	(3.0, 8.03615963519293)	(4.0, 3.66761806070497)	(5.0, 1.888729367313183)	(6.0, 0.9934835695330975)	(7.0, 0.5840842511814203)	(8.0, 0.3314648293199483)	(9.0, 0.2709589950825418)	('>10', 1.4945753122055982)	('>50', 0.04448050587955209)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013277_2	(1.0, 68.9151863963891)	(2.0, 17.531622643748044)	(3.0, 6.613413906392987)	(4.0, 2.81443319465218)	(5.0, 1.3560266538097276)	(6.0, 0.7523549008568627)	(7.0, 0.4156078629167309)	(8.0, 0.3160472099809093)	(9.0, 0.20892118321861422)	('>10', 1.0648590275470287)	('>50', 0.011527020487814205)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013278_1	(1.0, 56.31925258725013)	(2.0, 20.322162217597413)	(3.0, 9.211639014682623)	(4.0, 4.605010061905654)	(5.0, 2.5683491468269133)	(6.0, 1.6357918967587264)	(7.0, 1.0044057607709085)	(8.0, 0.7279578576618525)	(9.0, 0.4878248427357299)	('>10', 2.752195123711223)	('>50', 0.33308488452582347)	('>100', 0.03232660557302776)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013278_2	(1.0, 62.91592211379285)	(2.0, 18.028273029379108)	(3.0, 7.768499273546817)	(4.0, 3.885460379739266)	(5.0, 2.096475793877794)	(6.0, 1.1976751422904492)	(7.0, 0.7521489212645541)	(8.0, 0.5683304548770349)	(9.0, 0.38751599469466547)	('>10', 2.2124296583484706)	('>50', 0.18726923818900137)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013279_1	(1.0, 58.42438746032105)	(2.0, 20.114806940973853)	(3.0, 8.741970539042912)	(4.0, 4.318964139372416)	(5.0, 2.343474525120038)	(6.0, 1.4693750392155658)	(7.0, 0.9258044140361481)	(8.0, 0.6058995634640044)	(9.0, 0.43528738108872106)	('>10', 2.4045506771543135)	('>50', 0.21547932021095687)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013279_2	(1.0, 66.53274905590393)	(2.0, 17.23357161608905)	(3.0, 7.123732761466524)	(4.0, 3.280372841202878)	(5.0, 1.708841343170451)	(6.0, 1.017032264900653)	(7.0, 0.6044543384903998)	(8.0, 0.386537462216337)	(9.0, 0.2820713271771973)	('>10', 1.7630289165703548)	('>50', 0.06760807281228555)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013280_1	(1.0, 53.62229925378475)	(2.0, 20.25790187352027)	(3.0, 9.840730376951095)	(4.0, 5.053946285486691)	(5.0, 2.950523569921801)	(6.0, 1.9091958144968724)	(7.0, 1.2663358387509327)	(8.0, 0.8025201785543903)	(9.0, 0.5701863259882709)	('>10', 3.1986263467991978)	('>50', 0.4797710919586089)	('>100', 0.04796304378712566)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013280_2	(1.0, 59.91204726208944)	(2.0, 18.3775556732488)	(3.0, 8.349861986240041)	(4.0, 4.353078657633299)	(5.0, 2.451130373696917)	(6.0, 1.490582919411879)	(7.0, 0.9868271780272944)	(8.0, 0.6575583238070027)	(9.0, 0.4306441939608331)	('>10', 2.6492176890550883)	('>50', 0.3242030395078555)	('>100', 0.017292703321537827)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013281_1	(1.0, 66.9684088789142)	(2.0, 19.089124633864916)	(3.0, 6.992974511679523)	(4.0, 2.959228833339953)	(5.0, 1.3746003218330245)	(6.0, 0.7950429620172617)	(7.0, 0.4019475858512754)	(8.0, 0.2659336567871745)	(9.0, 0.17823032379027012)	('>10', 0.9617504566448452)	('>50', 0.012757835277555057)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013281_2	(1.0, 71.1492649413236)	(2.0, 17.49007173992734)	(3.0, 5.969747010502853)	(4.0, 2.4619460600871212)	(5.0, 1.013652997561245)	(6.0, 0.5032035112772213)	(7.0, 0.3354113867321053)	(8.0, 0.20413991954476512)	(9.0, 0.11911795970666128)	('>10', 0.7534444733371242)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013282_1	(1.0, 56.05371127289851)	(2.0, 20.27199153836394)	(3.0, 9.186829969044256)	(4.0, 4.834682495327968)	(5.0, 2.653395804781293)	(6.0, 1.6552056559121713)	(7.0, 1.0451579478157695)	(8.0, 0.6731295813566329)	(9.0, 0.42787016992946886)	('>10', 2.90237700539241)	('>50', 0.2626832251055059)	('>100', 0.0329653340720307)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013282_2	(1.0, 62.57313288381338)	(2.0, 18.1806985436386)	(3.0, 7.9771294699868625)	(4.0, 3.8458116946171463)	(5.0, 2.106341183291223)	(6.0, 1.2356465292571444)	(7.0, 0.7894997258864049)	(8.0, 0.5303389727094541)	(9.0, 0.35855280400044465)	('>10', 2.178153041213375)	('>50', 0.22469515158596254)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013283_1	(1.0, 48.79381463128934)	(2.0, 20.389465322107387)	(3.0, 10.658755816043815)	(4.0, 6.3250295452726535)	(5.0, 3.6936785448076384)	(6.0, 2.209023482545457)	(7.0, 1.5550084078470061)	(8.0, 1.089514222175754)	(9.0, 0.7021180036742564)	('>10', 3.923538244122745)	('>50', 0.5700279342049202)	('>100', 0.09002584590899103)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013283_2	(1.0, 52.60263435432363)	(2.0, 19.432427086361912)	(3.0, 9.938429492754002)	(4.0, 5.632350671899867)	(5.0, 3.3484966995894463)	(6.0, 2.086872313337047)	(7.0, 1.3984516721796558)	(8.0, 0.8870767850781878)	(9.0, 0.6180642835464268)	('>10', 3.4530017177446712)	('>50', 0.4826778308915147)	('>100', 0.11951709229365343)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013284_1	(1.0, 48.23413772576356)	(2.0, 20.412687654009815)	(3.0, 10.952814863944251)	(4.0, 6.335954966976562)	(5.0, 3.700139717883802)	(6.0, 2.4606393960737503)	(7.0, 1.6282341799570488)	(8.0, 1.1529660527076988)	(9.0, 0.7259589296981048)	('>10', 3.865521182306998)	('>50', 0.47049405912665293)	('>100', 0.060451271551752034)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013284_2	(1.0, 53.292395207922716)	(2.0, 19.373651500453242)	(3.0, 10.012674154879235)	(4.0, 5.545557587213274)	(5.0, 3.2228322573304755)	(6.0, 2.0149886496536396)	(7.0, 1.4265056952176738)	(8.0, 0.9545658789060822)	(9.0, 0.6262439275874276)	('>10', 3.1053059285166826)	('>50', 0.3998906203691304)	('>100', 0.025388591950417632)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013285_1	(1.0, 50.78814920035023)	(2.0, 20.290174278215563)	(3.0, 10.463008906861306)	(4.0, 5.687951560205011)	(5.0, 3.4250549035717395)	(6.0, 2.0428489075780467)	(7.0, 1.46981440919646)	(8.0, 0.9749411047271376)	(9.0, 0.6860560790367524)	('>10', 3.578446255616727)	('>50', 0.502897774697682)	('>100', 0.09065661994337075)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013285_2	(1.0, 56.30869942175354)	(2.0, 18.857026534779582)	(3.0, 9.30121636761029)	(4.0, 4.984658259129819)	(5.0, 2.905057887541319)	(6.0, 1.7140642583188506)	(7.0, 1.2005102916143924)	(8.0, 0.7998040609653565)	(9.0, 0.5377414840350592)	('>10', 2.950199417366115)	('>50', 0.3999469612261605)	('>100', 0.04107505565949335)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013286_1	(1.0, 51.508125024553244)	(2.0, 20.33003127329867)	(3.0, 10.18066825608109)	(4.0, 5.712625491534615)	(5.0, 3.332644636446177)	(6.0, 2.0942316469227533)	(7.0, 1.3122044181243937)	(8.0, 0.9017995082487306)	(9.0, 0.6610196196293114)	('>10', 3.4330780544305233)	('>50', 0.476140564411553)	('>100', 0.05743150631891829)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013286_2	(1.0, 57.75106950259035)	(2.0, 18.686332871308377)	(3.0, 9.002962122586686)	(4.0, 4.612645825641263)	(5.0, 2.8719057992865564)	(6.0, 1.6176381222201917)	(7.0, 1.1259877215726835)	(8.0, 0.7249168643551831)	(9.0, 0.5278736963483934)	('>10', 2.722762126924928)	('>50', 0.3137026775661529)	('>100', 0.04220266959925884)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013287_1	(1.0, 60.176599976412305)	(2.0, 20.215792814468223)	(3.0, 8.69860053259006)	(4.0, 4.062442161565829)	(5.0, 2.154329923961089)	(6.0, 1.1548320176370377)	(7.0, 0.688456439925974)	(8.0, 0.5109760269957686)	(9.0, 0.3399796663318271)	('>10', 1.8958895546956522)	('>50', 0.10210088541625567)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013287_2	(1.0, 65.79670757787763)	(2.0, 18.290433320545038)	(3.0, 7.427988765440223)	(4.0, 3.257003383095597)	(5.0, 1.6700597873970406)	(6.0, 0.9711440512547196)	(7.0, 0.5343158441070495)	(8.0, 0.38838713490160526)	(9.0, 0.23010692710088385)	('>10', 1.3890461621679946)	('>50', 0.04480704611222265)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013288_1	(1.0, 62.110729700879496)	(2.0, 19.895124712261126)	(3.0, 8.229015150412344)	(4.0, 3.7209663865790796)	(5.0, 1.8459778284893233)	(6.0, 1.0486923591374533)	(7.0, 0.603053559185239)	(8.0, 0.4356773793549101)	(9.0, 0.26874273325852804)	('>10', 1.7638737560492304)	('>50', 0.0781464343932708)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013288_2	(1.0, 68.1555165658183)	(2.0, 17.561667639776466)	(3.0, 6.7469815728962175)	(4.0, 2.9439935307913454)	(5.0, 1.462096225647272)	(6.0, 0.7808683787027654)	(7.0, 0.48596653580752186)	(8.0, 0.3173216480490555)	(9.0, 0.25028590920665805)	('>10', 1.2378388684176895)	('>50', 0.057463124886716836)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013289_1	(1.0, 54.757055203641315)	(2.0, 20.29447519166144)	(3.0, 9.513142379274171)	(4.0, 4.896918136708769)	(5.0, 2.8297561915753784)	(6.0, 1.80775001040461)	(7.0, 1.091595753229751)	(8.0, 0.7585774117674142)	(9.0, 0.5362380716529946)	('>10', 3.077349803510323)	('>50', 0.38963282354441753)	('>100', 0.04750902302938726)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013289_2	(1.0, 62.169632921824146)	(2.0, 18.09984853836767)	(3.0, 7.912817876720022)	(4.0, 4.076906180680121)	(5.0, 2.1460466039800377)	(6.0, 1.2655146426959913)	(7.0, 0.861907188297015)	(8.0, 0.543106383663995)	(9.0, 0.4421307571402172)	('>10', 2.2757322581633868)	('>50', 0.2063566484673783)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013290_1	(1.0, 52.90788112948791)	(2.0, 20.49282750569065)	(3.0, 10.075198393355755)	(4.0, 5.480134589772004)	(5.0, 3.08524289834877)	(6.0, 1.818953016282792)	(7.0, 1.2333212344291586)	(8.0, 0.8026220264110095)	(9.0, 0.6410219545914002)	('>10', 3.0993893385188334)	('>50', 0.30992941439599625)	('>100', 0.05347849871569154)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
