Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 377.0)	(40, 875.0)	(50, 946.0)	(60, 1092.0)	(70, 1211.0)	(80, 1444.0)	(90, 1641.0)	(100, 1761.0)	(110, 2003.0)	(120, 2330.0)	(130, 2593.0)	(140, 2890.0)	(150, 3390.0)	(160, 3969.0)	(170, 4511.0)	(180, 5110.0)	(190, 5716.0)	(200, 6454.0)	(210, 7089.0)	(220, 7783.0)	(230, 8402.0)	(240, 9055.0)	(250, 9803.0)	(260, 10130.0)	(270, 10924.0)	(280, 11214.0)	(290, 36328.0)	(300, 332253.0)
SRR27013246_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 373.0)	(40, 876.0)	(50, 952.0)	(60, 1087.0)	(70, 1207.0)	(80, 1448.0)	(90, 1644.0)	(100, 1765.0)	(110, 2003.0)	(120, 2329.0)	(130, 2597.0)	(140, 2897.0)	(150, 3401.0)	(160, 3970.0)	(170, 4517.0)	(180, 5123.0)	(190, 5730.0)	(200, 6448.0)	(210, 7090.0)	(220, 7790.0)	(230, 8398.0)	(240, 9058.0)	(250, 9807.0)	(260, 10139.0)	(270, 10918.0)	(280, 11220.0)	(290, 34097.0)	(300, 334410.0)
SRR27013247_1	(30, 131.0)	(40, 312.0)	(50, 374.0)	(60, 456.0)	(70, 493.0)	(80, 573.0)	(90, 648.0)	(100, 723.0)	(110, 884.0)	(120, 1044.0)	(130, 1211.0)	(140, 1460.0)	(150, 1696.0)	(160, 1952.0)	(170, 2449.0)	(180, 2715.0)	(190, 3285.0)	(200, 3717.0)	(210, 4255.0)	(220, 4893.0)	(230, 5400.0)	(240, 5914.0)	(250, 6566.0)	(260, 7160.0)	(270, 7681.0)	(280, 8380.0)	(290, 31712.0)	(300, 312161.0)
SRR27013247_2	(30, 129.0)	(40, 304.0)	(50, 368.0)	(60, 453.0)	(70, 491.0)	(80, 577.0)	(90, 644.0)	(100, 724.0)	(110, 890.0)	(120, 1049.0)	(130, 1212.0)	(140, 1465.0)	(150, 1701.0)	(160, 1958.0)	(170, 2451.0)	(180, 2724.0)	(190, 3284.0)	(200, 3724.0)	(210, 4266.0)	(220, 4902.0)	(230, 5411.0)	(240, 5916.0)	(250, 6573.0)	(260, 7140.0)	(270, 7667.0)	(280, 8370.0)	(290, 29736.0)	(300, 314116.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 131.0)	(40, 312.0)	(50, 374.0)	(60, 456.0)	(70, 493.0)	(80, 573.0)	(90, 648.0)	(100, 723.0)	(110, 884.0)	(120, 1044.0)	(130, 1211.0)	(140, 1460.0)	(150, 1696.0)	(160, 1952.0)	(170, 2449.0)	(180, 2715.0)	(190, 3285.0)	(200, 3717.0)	(210, 4255.0)	(220, 4893.0)	(230, 5400.0)	(240, 5914.0)	(250, 6566.0)	(260, 7160.0)	(270, 7681.0)	(280, 8380.0)	(290, 31712.0)	(300, 312161.0)
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 129.0)	(40, 304.0)	(50, 368.0)	(60, 453.0)	(70, 491.0)	(80, 577.0)	(90, 644.0)	(100, 724.0)	(110, 890.0)	(120, 1049.0)	(130, 1212.0)	(140, 1465.0)	(150, 1701.0)	(160, 1958.0)	(170, 2451.0)	(180, 2724.0)	(190, 3284.0)	(200, 3724.0)	(210, 4266.0)	(220, 4902.0)	(230, 5411.0)	(240, 5916.0)	(250, 6573.0)	(260, 7140.0)	(270, 7667.0)	(280, 8370.0)	(290, 29736.0)	(300, 314116.0)
SRR27013248_1	(30, 635.0)	(40, 1590.0)	(50, 1848.0)	(60, 2025.0)	(70, 2261.0)	(80, 2465.0)	(90, 2778.0)	(100, 3195.0)	(110, 3643.0)	(120, 4026.0)	(130, 4413.0)	(140, 5161.0)	(150, 5793.0)	(160, 6650.0)	(170, 7595.0)	(180, 8619.0)	(190, 9890.0)	(200, 11039.0)	(210, 12366.0)	(220, 13643.0)	(230, 14875.0)	(240, 15943.0)	(250, 17190.0)	(260, 18163.0)	(270, 18845.0)	(280, 19682.0)	(290, 45416.0)	(300, 345216.0)
SRR27013248_2	(30, 636.0)	(40, 1588.0)	(50, 1852.0)	(60, 2028.0)	(70, 2262.0)	(80, 2474.0)	(90, 2776.0)	(100, 3204.0)	(110, 3646.0)	(120, 4036.0)	(130, 4415.0)	(140, 5169.0)	(150, 5807.0)	(160, 6673.0)	(170, 7602.0)	(180, 8645.0)	(190, 9911.0)	(200, 11038.0)	(210, 12368.0)	(220, 13648.0)	(230, 14893.0)	(240, 15955.0)	(250, 17205.0)	(260, 18189.0)	(270, 18845.0)	(280, 19661.0)	(290, 42858.0)	(300, 347581.0)
SRR27013249_1	(30, 595.0)	(40, 1526.0)	(50, 1714.0)	(60, 1984.0)	(70, 2052.0)	(80, 2385.0)	(90, 2583.0)	(100, 2718.0)	(110, 3096.0)	(120, 3375.0)	(130, 3896.0)	(140, 4303.0)	(150, 4806.0)	(160, 5272.0)	(170, 6104.0)	(180, 6790.0)	(190, 7551.0)	(200, 8437.0)	(210, 9405.0)	(220, 10278.0)	(230, 11051.0)	(240, 11831.0)	(250, 12849.0)	(260, 13357.0)	(270, 14088.0)	(280, 14760.0)	(290, 39185.0)	(300, 334280.0)
SRR27013249_2	(30, 595.0)	(40, 1522.0)	(50, 1717.0)	(60, 1987.0)	(70, 2050.0)	(80, 2389.0)	(90, 2584.0)	(100, 2719.0)	(110, 3104.0)	(120, 3376.0)	(130, 3904.0)	(140, 4306.0)	(150, 4809.0)	(160, 5281.0)	(170, 6110.0)	(180, 6793.0)	(190, 7564.0)	(200, 8438.0)	(210, 9412.0)	(220, 10272.0)	(230, 11056.0)	(240, 11838.0)	(250, 12863.0)	(260, 13344.0)	(270, 14071.0)	(280, 14738.0)	(290, 37202.0)	(300, 336227.0)
