Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR27013255_1	(30, 2537.0)	(40, 6983.0)	(50, 7883.0)	(60, 8348.0)	(70, 8536.0)	(80, 8671.0)	(90, 8639.0)	(100, 8580.0)	(110, 8621.0)	(120, 8629.0)	(130, 8432.0)	(140, 8417.0)	(150, 8814.0)	(160, 8699.0)	(170, 9056.0)	(180, 9477.0)	(190, 10079.0)	(200, 10691.0)	(210, 10967.0)	(220, 11971.0)	(230, 12614.0)	(240, 13273.0)	(250, 13945.0)	(260, 14482.0)	(270, 14941.0)	(280, 14937.0)	(290, 37325.0)	(300, 272409.0)
SRR27013255_2	(30, 2552.0)	(40, 6999.0)	(50, 7901.0)	(60, 8342.0)	(70, 8540.0)	(80, 8677.0)	(90, 8651.0)	(100, 8575.0)	(110, 8627.0)	(120, 8640.0)	(130, 8448.0)	(140, 8419.0)	(150, 8812.0)	(160, 8678.0)	(170, 9053.0)	(180, 9496.0)	(190, 10027.0)	(200, 10653.0)	(210, 10927.0)	(220, 11933.0)	(230, 12630.0)	(240, 13180.0)	(250, 13760.0)	(260, 14119.0)	(270, 14223.0)	(280, 14119.0)	(290, 23856.0)	(300, 288119.0)
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 2537.0)	(40, 6983.0)	(50, 7883.0)	(60, 8348.0)	(70, 8536.0)	(80, 8671.0)	(90, 8639.0)	(100, 8580.0)	(110, 8621.0)	(120, 8629.0)	(130, 8432.0)	(140, 8417.0)	(150, 8814.0)	(160, 8699.0)	(170, 9056.0)	(180, 9477.0)	(190, 10079.0)	(200, 10691.0)	(210, 10967.0)	(220, 11971.0)	(230, 12614.0)	(240, 13273.0)	(250, 13945.0)	(260, 14482.0)	(270, 14941.0)	(280, 14937.0)	(290, 37325.0)	(300, 272409.0)
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 2552.0)	(40, 6999.0)	(50, 7901.0)	(60, 8342.0)	(70, 8540.0)	(80, 8677.0)	(90, 8651.0)	(100, 8575.0)	(110, 8627.0)	(120, 8640.0)	(130, 8448.0)	(140, 8419.0)	(150, 8812.0)	(160, 8678.0)	(170, 9053.0)	(180, 9496.0)	(190, 10027.0)	(200, 10653.0)	(210, 10927.0)	(220, 11933.0)	(230, 12630.0)	(240, 13180.0)	(250, 13760.0)	(260, 14119.0)	(270, 14223.0)	(280, 14119.0)	(290, 23856.0)	(300, 288119.0)
SRR27013256_1	(30, 663.0)	(40, 1841.0)	(50, 2267.0)	(60, 2406.0)	(70, 2552.0)	(80, 2917.0)	(90, 3043.0)	(100, 3381.0)	(110, 3785.0)	(120, 4043.0)	(130, 4650.0)	(140, 5199.0)	(150, 5918.0)	(160, 6469.0)	(170, 7437.0)	(180, 8440.0)	(190, 9480.0)	(200, 10735.0)	(210, 11679.0)	(220, 12693.0)	(230, 13766.0)	(240, 14844.0)	(250, 15881.0)	(260, 16732.0)	(270, 17329.0)	(280, 17662.0)	(290, 43325.0)	(300, 342764.0)
SRR27013256_2	(30, 667.0)	(40, 1843.0)	(50, 2270.0)	(60, 2406.0)	(70, 2554.0)	(80, 2927.0)	(90, 3050.0)	(100, 3388.0)	(110, 3791.0)	(120, 4043.0)	(130, 4648.0)	(140, 5198.0)	(150, 5909.0)	(160, 6477.0)	(170, 7437.0)	(180, 8442.0)	(190, 9451.0)	(200, 10737.0)	(210, 11666.0)	(220, 12669.0)	(230, 13739.0)	(240, 14809.0)	(250, 15795.0)	(260, 16629.0)	(270, 17208.0)	(280, 17534.0)	(290, 40497.0)	(300, 346117.0)
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 121.0)	(40, 300.0)	(50, 369.0)	(60, 421.0)	(70, 434.0)	(80, 462.0)	(90, 444.0)	(100, 481.0)	(110, 620.0)	(120, 633.0)	(130, 717.0)	(140, 758.0)	(150, 936.0)	(160, 967.0)	(170, 1152.0)	(180, 1357.0)	(190, 1490.0)	(200, 1730.0)	(210, 1809.0)	(220, 2007.0)	(230, 2108.0)	(240, 2361.0)	(250, 2537.0)	(260, 2615.0)	(270, 2752.0)	(280, 2778.0)	(290, 6666.0)	(300, 52607.0)
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 122.0)	(40, 297.0)	(50, 369.0)	(60, 420.0)	(70, 433.0)	(80, 464.0)	(90, 447.0)	(100, 482.0)	(110, 623.0)	(120, 631.0)	(130, 719.0)	(140, 758.0)	(150, 934.0)	(160, 973.0)	(170, 1150.0)	(180, 1354.0)	(190, 1483.0)	(200, 1732.0)	(210, 1812.0)	(220, 2006.0)	(230, 2113.0)	(240, 2349.0)	(250, 2528.0)	(260, 2610.0)	(270, 2744.0)	(280, 2772.0)	(290, 6038.0)	(300, 53269.0)
SRR27013257_1	(30, 222.0)	(40, 576.0)	(50, 612.0)	(60, 691.0)	(70, 826.0)	(80, 886.0)	(90, 1005.0)	(100, 1181.0)	(110, 1363.0)	(120, 1443.0)	(130, 1841.0)	(140, 2111.0)	(150, 2622.0)	(160, 2984.0)	(170, 3706.0)	(180, 4386.0)	(190, 5255.0)	(200, 6103.0)	(210, 7191.0)	(220, 8117.0)	(230, 9041.0)	(240, 10364.0)	(250, 11359.0)	(260, 12478.0)	(270, 13227.0)	(280, 14056.0)	(290, 39479.0)	(300, 345346.0)
SRR27013257_2	(30, 227.0)	(40, 576.0)	(50, 612.0)	(60, 693.0)	(70, 833.0)	(80, 897.0)	(90, 1020.0)	(100, 1185.0)	(110, 1374.0)	(120, 1456.0)	(130, 1866.0)	(140, 2133.0)	(150, 2629.0)	(160, 3006.0)	(170, 3738.0)	(180, 4411.0)	(190, 5300.0)	(200, 6134.0)	(210, 7220.0)	(220, 8157.0)	(230, 9076.0)	(240, 10387.0)	(250, 11394.0)	(260, 12527.0)	(270, 13221.0)	(280, 14069.0)	(290, 39244.0)	(300, 345086.0)
SRR27013258_1	(30, 377.0)	(40, 874.0)	(50, 1065.0)	(60, 1137.0)	(70, 1326.0)	(80, 1436.0)	(90, 1604.0)	(100, 1783.0)	(110, 2095.0)	(120, 2312.0)	(130, 2610.0)	(140, 3010.0)	(150, 3519.0)	(160, 4095.0)	(170, 4880.0)	(180, 5532.0)	(190, 6341.0)	(200, 7430.0)	(210, 8283.0)	(220, 9553.0)	(230, 10511.0)	(240, 11396.0)	(250, 12219.0)	(260, 13385.0)	(270, 13937.0)	(280, 14863.0)	(290, 39195.0)	(300, 332025.0)
SRR27013258_2	(30, 378.0)	(40, 883.0)	(50, 1075.0)	(60, 1144.0)	(70, 1337.0)	(80, 1443.0)	(90, 1615.0)	(100, 1793.0)	(110, 2114.0)	(120, 2332.0)	(130, 2639.0)	(140, 3043.0)	(150, 3547.0)	(160, 4144.0)	(170, 4921.0)	(180, 5590.0)	(190, 6420.0)	(200, 7523.0)	(210, 8353.0)	(220, 9631.0)	(230, 10577.0)	(240, 11500.0)	(250, 12332.0)	(260, 13518.0)	(270, 14083.0)	(280, 14993.0)	(290, 38935.0)	(300, 330930.0)
SRR27013259_1	(30, 210.0)	(40, 475.0)	(50, 601.0)	(60, 657.0)	(70, 677.0)	(80, 842.0)	(90, 959.0)	(100, 1019.0)	(110, 1189.0)	(120, 1374.0)	(130, 1646.0)	(140, 2069.0)	(150, 2507.0)	(160, 3008.0)	(170, 3588.0)	(180, 4425.0)	(190, 5197.0)	(200, 6193.0)	(210, 7163.0)	(220, 8586.0)	(230, 9541.0)	(240, 10436.0)	(250, 11758.0)	(260, 12698.0)	(270, 13727.0)	(280, 14346.0)	(290, 39675.0)	(300, 345183.0)
SRR27013259_2	(30, 210.0)	(40, 469.0)	(50, 602.0)	(60, 664.0)	(70, 683.0)	(80, 848.0)	(90, 957.0)	(100, 1023.0)	(110, 1183.0)	(120, 1375.0)	(130, 1646.0)	(140, 2078.0)	(150, 2510.0)	(160, 3019.0)	(170, 3598.0)	(180, 4441.0)	(190, 5196.0)	(200, 6187.0)	(210, 7156.0)	(220, 8577.0)	(230, 9551.0)	(240, 10392.0)	(250, 11724.0)	(260, 12601.0)	(270, 13646.0)	(280, 14269.0)	(290, 39573.0)	(300, 345571.0)
SRR27013260_1	(30, 523.0)	(40, 1350.0)	(50, 1476.0)	(60, 1711.0)	(70, 1827.0)	(80, 1924.0)	(90, 2154.0)	(100, 2428.0)	(110, 2739.0)	(120, 2928.0)	(130, 3406.0)	(140, 3970.0)	(150, 4457.0)	(160, 5181.0)	(170, 6119.0)	(180, 6952.0)	(190, 8008.0)	(200, 9237.0)	(210, 10416.0)	(220, 11657.0)	(230, 12918.0)	(240, 14067.0)	(250, 15090.0)	(260, 16208.0)	(270, 17061.0)	(280, 17690.0)	(290, 46484.0)	(300, 395433.0)
SRR27013260_2	(30, 523.0)	(40, 1361.0)	(50, 1489.0)	(60, 1721.0)	(70, 1832.0)	(80, 1936.0)	(90, 2171.0)	(100, 2443.0)	(110, 2760.0)	(120, 2953.0)	(130, 3448.0)	(140, 4008.0)	(150, 4498.0)	(160, 5214.0)	(170, 6158.0)	(180, 7011.0)	(190, 8080.0)	(200, 9294.0)	(210, 10475.0)	(220, 11710.0)	(230, 12976.0)	(240, 14120.0)	(250, 15158.0)	(260, 16271.0)	(270, 17130.0)	(280, 17805.0)	(290, 46088.0)	(300, 394781.0)
SRR27013261_1	(30, 2770.0)	(40, 7598.0)	(50, 8474.0)	(60, 8810.0)	(70, 8690.0)	(80, 8742.0)	(90, 8732.0)	(100, 8935.0)	(110, 8844.0)	(120, 8873.0)	(130, 9085.0)	(140, 9225.0)	(150, 9725.0)	(160, 10039.0)	(170, 10601.0)	(180, 11061.0)	(190, 11871.0)	(200, 12823.0)	(210, 13512.0)	(220, 14593.0)	(230, 15281.0)	(240, 16178.0)	(250, 16973.0)	(260, 17536.0)	(270, 18245.0)	(280, 18583.0)	(290, 40528.0)	(300, 300166.0)
SRR27013261_2	(30, 2773.0)	(40, 7624.0)	(50, 8502.0)	(60, 8851.0)	(70, 8737.0)	(80, 8777.0)	(90, 8755.0)	(100, 8960.0)	(110, 8846.0)	(120, 8904.0)	(130, 9085.0)	(140, 9228.0)	(150, 9741.0)	(160, 10066.0)	(170, 10611.0)	(180, 11070.0)	(190, 11863.0)	(200, 12829.0)	(210, 13544.0)	(220, 14604.0)	(230, 15225.0)	(240, 16151.0)	(250, 16922.0)	(260, 17444.0)	(270, 18097.0)	(280, 18423.0)	(290, 31086.0)	(300, 309775.0)
SRR27013262_1	(30, 384.0)	(40, 1149.0)	(50, 1361.0)	(60, 1529.0)	(70, 1725.0)	(80, 1933.0)	(90, 2129.0)	(100, 2355.0)	(110, 2760.0)	(120, 3189.0)	(130, 3669.0)	(140, 4174.0)	(150, 5002.0)	(160, 5713.0)	(170, 6633.0)	(180, 7773.0)	(190, 8669.0)	(200, 10065.0)	(210, 11466.0)	(220, 12607.0)	(230, 13982.0)	(240, 15378.0)	(250, 16372.0)	(260, 17755.0)	(270, 18280.0)	(280, 19425.0)	(290, 48877.0)	(300, 399682.0)
SRR27013262_2	(30, 386.0)	(40, 1161.0)	(50, 1368.0)	(60, 1547.0)	(70, 1738.0)	(80, 1956.0)	(90, 2147.0)	(100, 2395.0)	(110, 2777.0)	(120, 3224.0)	(130, 3711.0)	(140, 4226.0)	(150, 5075.0)	(160, 5764.0)	(170, 6719.0)	(180, 7852.0)	(190, 8793.0)	(200, 10210.0)	(210, 11581.0)	(220, 12722.0)	(230, 14105.0)	(240, 15513.0)	(250, 16541.0)	(260, 17868.0)	(270, 18517.0)	(280, 19595.0)	(290, 48422.0)	(300, 398123.0)
SRR27013263_1	(30, 2517.0)	(40, 6755.0)	(50, 7520.0)	(60, 7826.0)	(70, 7906.0)	(80, 7960.0)	(90, 7952.0)	(100, 7988.0)	(110, 8055.0)	(120, 8364.0)	(130, 8538.0)	(140, 8750.0)	(150, 9408.0)	(160, 10028.0)	(170, 10461.0)	(180, 11345.0)	(190, 12489.0)	(200, 13539.0)	(210, 14443.0)	(220, 15831.0)	(230, 16778.0)	(240, 17833.0)	(250, 18969.0)	(260, 19905.0)	(270, 20571.0)	(280, 20759.0)	(290, 45558.0)	(300, 327518.0)
SRR27013263_2	(30, 2516.0)	(40, 6783.0)	(50, 7551.0)	(60, 7875.0)	(70, 7940.0)	(80, 7984.0)	(90, 8000.0)	(100, 8024.0)	(110, 8076.0)	(120, 8398.0)	(130, 8559.0)	(140, 8759.0)	(150, 9422.0)	(160, 10056.0)	(170, 10469.0)	(180, 11351.0)	(190, 12500.0)	(200, 13526.0)	(210, 14463.0)	(220, 15838.0)	(230, 16772.0)	(240, 17815.0)	(250, 18899.0)	(260, 19849.0)	(270, 20441.0)	(280, 20552.0)	(290, 34856.0)	(300, 338292.0)
SRR27013264_1	(30, 2388.0)	(40, 6864.0)	(50, 7852.0)	(60, 8322.0)	(70, 8584.0)	(80, 8668.0)	(90, 8560.0)	(100, 8732.0)	(110, 8697.0)	(120, 8982.0)	(130, 9048.0)	(140, 9408.0)	(150, 9777.0)	(160, 10175.0)	(170, 10864.0)	(180, 11819.0)	(190, 12458.0)	(200, 13555.0)	(210, 14549.0)	(220, 15397.0)	(230, 16755.0)	(240, 18014.0)	(250, 18843.0)	(260, 19713.0)	(270, 19937.0)	(280, 20502.0)	(290, 46984.0)	(300, 359920.0)
SRR27013264_2	(30, 2391.0)	(40, 6898.0)	(50, 7898.0)	(60, 8373.0)	(70, 8635.0)	(80, 8732.0)	(90, 8616.0)	(100, 8775.0)	(110, 8758.0)	(120, 9030.0)	(130, 9092.0)	(140, 9457.0)	(150, 9818.0)	(160, 10252.0)	(170, 10919.0)	(180, 11849.0)	(190, 12550.0)	(200, 13623.0)	(210, 14596.0)	(220, 15382.0)	(230, 16762.0)	(240, 18013.0)	(250, 18737.0)	(260, 19632.0)	(270, 19811.0)	(280, 20316.0)	(290, 46671.0)	(300, 359781.0)
SRR27013265_1	(30, 4495.0)	(40, 12333.0)	(50, 13831.0)	(60, 14570.0)	(70, 15310.0)	(80, 15422.0)	(90, 16227.0)	(100, 16671.0)	(110, 17723.0)	(120, 18396.0)	(130, 19568.0)	(140, 20509.0)	(150, 21958.0)	(160, 23577.0)	(170, 24090.0)	(180, 24934.0)	(190, 26376.0)	(200, 27287.0)	(210, 28115.0)	(220, 29332.0)	(230, 29632.0)	(240, 29852.0)	(250, 30000.0)	(260, 29831.0)	(270, 29782.0)	(280, 29697.0)	(290, 61882.0)	(300, 446173.0)
SRR27013265_2	(30, 4502.0)	(40, 12333.0)	(50, 13840.0)	(60, 14589.0)	(70, 15321.0)	(80, 15418.0)	(90, 16243.0)	(100, 16688.0)	(110, 17745.0)	(120, 18410.0)	(130, 19606.0)	(140, 20549.0)	(150, 21946.0)	(160, 23636.0)	(170, 24139.0)	(180, 24973.0)	(190, 26391.0)	(200, 27283.0)	(210, 28057.0)	(220, 29289.0)	(230, 29528.0)	(240, 29779.0)	(250, 30145.0)	(260, 30309.0)	(270, 30028.0)	(280, 29663.0)	(290, 55037.0)	(300, 452126.0)
SRR27013266_1	(30, 3412.0)	(40, 8916.0)	(50, 9865.0)	(60, 10459.0)	(70, 10689.0)	(80, 10830.0)	(90, 10916.0)	(100, 10940.0)	(110, 11068.0)	(120, 11035.0)	(130, 11616.0)	(140, 12133.0)	(150, 12755.0)	(160, 13289.0)	(170, 14325.0)	(180, 14680.0)	(190, 15867.0)	(200, 17131.0)	(210, 18344.0)	(220, 19222.0)	(230, 20390.0)	(240, 21881.0)	(250, 22737.0)	(260, 23107.0)	(270, 24019.0)	(280, 24337.0)	(290, 57130.0)	(300, 450643.0)
SRR27013266_2	(30, 3405.0)	(40, 8909.0)	(50, 9884.0)	(60, 10498.0)	(70, 10713.0)	(80, 10844.0)	(90, 10918.0)	(100, 10944.0)	(110, 11097.0)	(120, 11036.0)	(130, 11645.0)	(140, 12140.0)	(150, 12763.0)	(160, 13313.0)	(170, 14313.0)	(180, 14694.0)	(190, 15859.0)	(200, 17146.0)	(210, 18336.0)	(220, 19191.0)	(230, 20323.0)	(240, 21847.0)	(250, 22859.0)	(260, 23441.0)	(270, 24164.0)	(280, 24282.0)	(290, 50450.0)	(300, 456722.0)
SRR27013267_1	(30, 2665.0)	(40, 7020.0)	(50, 8034.0)	(60, 8907.0)	(70, 9144.0)	(80, 9508.0)	(90, 10042.0)	(100, 10386.0)	(110, 11087.0)	(120, 11893.0)	(130, 12841.0)	(140, 13792.0)	(150, 15099.0)	(160, 16242.0)	(170, 17939.0)	(180, 18725.0)	(190, 20288.0)	(200, 21783.0)	(210, 23121.0)	(220, 23791.0)	(230, 25204.0)	(240, 25807.0)	(250, 26732.0)	(260, 26801.0)	(270, 26931.0)	(280, 26669.0)	(290, 51682.0)	(300, 349923.0)
SRR27013267_2	(30, 2683.0)	(40, 7076.0)	(50, 8119.0)	(60, 8964.0)	(70, 9234.0)	(80, 9575.0)	(90, 10137.0)	(100, 10482.0)	(110, 11200.0)	(120, 12010.0)	(130, 12972.0)	(140, 13940.0)	(150, 15278.0)	(160, 16459.0)	(170, 18160.0)	(180, 18950.0)	(190, 20582.0)	(200, 22105.0)	(210, 23455.0)	(220, 24148.0)	(230, 25544.0)	(240, 26150.0)	(250, 27010.0)	(260, 26981.0)	(270, 27136.0)	(280, 26805.0)	(290, 46680.0)	(300, 350221.0)
SRR27013268_1	(30, 9137.0)	(40, 25640.0)	(50, 29357.0)	(60, 30469.0)	(70, 31117.0)	(80, 31372.0)	(90, 31217.0)	(100, 31506.0)	(110, 31409.0)	(120, 31502.0)	(130, 31657.0)	(140, 31904.0)	(150, 32357.0)	(160, 33146.0)	(170, 33528.0)	(180, 33670.0)	(190, 34769.0)	(200, 35440.0)	(210, 36613.0)	(220, 37262.0)	(230, 37523.0)	(240, 37976.0)	(250, 37847.0)	(260, 36689.0)	(270, 36229.0)	(280, 35444.0)	(290, 62524.0)	(300, 394956.0)
SRR27013268_2	(30, 9149.0)	(40, 25709.0)	(50, 29443.0)	(60, 30574.0)	(70, 31241.0)	(80, 31519.0)	(90, 31350.0)	(100, 31659.0)	(110, 31567.0)	(120, 31637.0)	(130, 31837.0)	(140, 32079.0)	(150, 32542.0)	(160, 33348.0)	(170, 33724.0)	(180, 33881.0)	(190, 34975.0)	(200, 35620.0)	(210, 36748.0)	(220, 37375.0)	(230, 37634.0)	(240, 38069.0)	(250, 38266.0)	(260, 37470.0)	(270, 36705.0)	(280, 35526.0)	(290, 56208.0)	(300, 396405.0)
SRR27013269_1	(30, 2840.0)	(40, 7760.0)	(50, 9130.0)	(60, 9276.0)	(70, 9723.0)	(80, 9951.0)	(90, 9691.0)	(100, 9804.0)	(110, 9907.0)	(120, 10181.0)	(130, 10244.0)	(140, 10628.0)	(150, 10991.0)	(160, 11603.0)	(170, 12425.0)	(180, 12996.0)	(190, 14179.0)	(200, 15162.0)	(210, 16009.0)	(220, 17348.0)	(230, 18588.0)	(240, 19770.0)	(250, 20244.0)	(260, 21092.0)	(270, 21912.0)	(280, 22423.0)	(290, 48539.0)	(300, 355724.0)
SRR27013269_2	(30, 2846.0)	(40, 7776.0)	(50, 9152.0)	(60, 9303.0)	(70, 9758.0)	(80, 9991.0)	(90, 9740.0)	(100, 9850.0)	(110, 9948.0)	(120, 10238.0)	(130, 10295.0)	(140, 10689.0)	(150, 11044.0)	(160, 11696.0)	(170, 12489.0)	(180, 13073.0)	(190, 14258.0)	(200, 15263.0)	(210, 16096.0)	(220, 17415.0)	(230, 18640.0)	(240, 19856.0)	(250, 20506.0)	(260, 21614.0)	(270, 22241.0)	(280, 22542.0)	(290, 43186.0)	(300, 358635.0)
SRR27013270_1	(30, 219.0)	(40, 525.0)	(50, 576.0)	(60, 703.0)	(70, 807.0)	(80, 888.0)	(90, 1034.0)	(100, 1161.0)	(110, 1297.0)	(120, 1515.0)	(130, 1755.0)	(140, 2072.0)	(150, 2367.0)	(160, 2893.0)	(170, 3353.0)	(180, 3877.0)	(190, 4576.0)	(200, 5282.0)	(210, 5974.0)	(220, 6713.0)	(230, 7463.0)	(240, 8261.0)	(250, 8758.0)	(260, 9446.0)	(270, 9988.0)	(280, 10519.0)	(290, 31038.0)	(300, 281870.0)
SRR27013270_2	(30, 216.0)	(40, 522.0)	(50, 575.0)	(60, 703.0)	(70, 814.0)	(80, 889.0)	(90, 1033.0)	(100, 1162.0)	(110, 1306.0)	(120, 1524.0)	(130, 1766.0)	(140, 2081.0)	(150, 2377.0)	(160, 2898.0)	(170, 3364.0)	(180, 3882.0)	(190, 4594.0)	(200, 5289.0)	(210, 5944.0)	(220, 6708.0)	(230, 7381.0)	(240, 8175.0)	(250, 8565.0)	(260, 9166.0)	(270, 9572.0)	(280, 9898.0)	(290, 23550.0)	(300, 290976.0)
SRR27013271_1	(30, 3138.0)	(40, 9068.0)	(50, 10489.0)	(60, 10915.0)	(70, 11119.0)	(80, 11284.0)	(90, 11313.0)	(100, 11289.0)	(110, 11560.0)	(120, 11849.0)	(130, 12014.0)	(140, 12530.0)	(150, 13096.0)	(160, 13972.0)	(170, 14363.0)	(180, 14968.0)	(190, 16147.0)	(200, 17153.0)	(210, 18136.0)	(220, 19307.0)	(230, 20254.0)	(240, 21304.0)	(250, 22174.0)	(260, 22291.0)	(270, 22568.0)	(280, 23256.0)	(290, 46799.0)	(300, 334132.0)
SRR27013271_2	(30, 3145.0)	(40, 9089.0)	(50, 10516.0)	(60, 10932.0)	(70, 11134.0)	(80, 11314.0)	(90, 11338.0)	(100, 11292.0)	(110, 11574.0)	(120, 11864.0)	(130, 12028.0)	(140, 12533.0)	(150, 13091.0)	(160, 13970.0)	(170, 14371.0)	(180, 14952.0)	(190, 16119.0)	(200, 17105.0)	(210, 18080.0)	(220, 19222.0)	(230, 20170.0)	(240, 21181.0)	(250, 22198.0)	(260, 22498.0)	(270, 22562.0)	(280, 22982.0)	(290, 41806.0)	(300, 339422.0)
SRR27013272_1	(30, 3519.0)	(40, 9322.0)	(50, 10111.0)	(60, 10442.0)	(70, 10452.0)	(80, 9987.0)	(90, 9808.0)	(100, 9668.0)	(110, 9718.0)	(120, 9601.0)	(130, 9725.0)	(140, 10040.0)	(150, 10547.0)	(160, 10735.0)	(170, 11437.0)	(180, 12241.0)	(190, 12923.0)	(200, 14035.0)	(210, 15219.0)	(220, 16363.0)	(230, 17294.0)	(240, 18104.0)	(250, 18749.0)	(260, 19323.0)	(270, 19751.0)	(280, 19632.0)	(290, 40843.0)	(300, 294405.0)
SRR27013272_2	(30, 3543.0)	(40, 9395.0)	(50, 10183.0)	(60, 10504.0)	(70, 10525.0)	(80, 10073.0)	(90, 9886.0)	(100, 9723.0)	(110, 9776.0)	(120, 9675.0)	(130, 9788.0)	(140, 10111.0)	(150, 10611.0)	(160, 10804.0)	(170, 11511.0)	(180, 12335.0)	(190, 13037.0)	(200, 14132.0)	(210, 15297.0)	(220, 16450.0)	(230, 17385.0)	(240, 18194.0)	(250, 18781.0)	(260, 19380.0)	(270, 19798.0)	(280, 19673.0)	(290, 34406.0)	(300, 299018.0)
SRR27013273_1	(30, 2105.0)	(40, 5886.0)	(50, 6764.0)	(60, 7020.0)	(70, 7441.0)	(80, 7822.0)	(90, 8243.0)	(100, 8547.0)	(110, 8841.0)	(120, 9475.0)	(130, 10244.0)	(140, 10825.0)	(150, 11804.0)	(160, 12977.0)	(170, 14015.0)	(180, 14681.0)	(190, 16071.0)	(200, 17687.0)	(210, 19371.0)	(220, 21034.0)	(230, 22172.0)	(240, 23650.0)	(250, 24723.0)	(260, 25796.0)	(270, 26590.0)	(280, 27305.0)	(290, 62249.0)	(300, 483986.0)
SRR27013273_2	(30, 2096.0)	(40, 5881.0)	(50, 6773.0)	(60, 7009.0)	(70, 7438.0)	(80, 7800.0)	(90, 8235.0)	(100, 8555.0)	(110, 8849.0)	(120, 9483.0)	(130, 10251.0)	(140, 10838.0)	(150, 11806.0)	(160, 12981.0)	(170, 14043.0)	(180, 14705.0)	(190, 16082.0)	(200, 17691.0)	(210, 19349.0)	(220, 20984.0)	(230, 22128.0)	(240, 23611.0)	(250, 24920.0)	(260, 26239.0)	(270, 26805.0)	(280, 27390.0)	(290, 55313.0)	(300, 490069.0)
SRR27013274_1	(30, 5189.0)	(40, 14345.0)	(50, 16472.0)	(60, 16981.0)	(70, 17158.0)	(80, 17015.0)	(90, 17519.0)	(100, 17113.0)	(110, 17211.0)	(120, 17385.0)	(130, 17829.0)	(140, 18043.0)	(150, 18590.0)	(160, 19488.0)	(170, 20405.0)	(180, 21015.0)	(190, 22077.0)	(200, 23525.0)	(210, 24755.0)	(220, 26153.0)	(230, 27255.0)	(240, 28621.0)	(250, 29270.0)	(260, 30156.0)	(270, 30137.0)	(280, 29796.0)	(290, 56248.0)	(300, 370494.0)
SRR27013274_2	(30, 5206.0)	(40, 14389.0)	(50, 16544.0)	(60, 17072.0)	(70, 17206.0)	(80, 17077.0)	(90, 17585.0)	(100, 17160.0)	(110, 17245.0)	(120, 17442.0)	(130, 17899.0)	(140, 18074.0)	(150, 18630.0)	(160, 19507.0)	(170, 20438.0)	(180, 21020.0)	(190, 22129.0)	(200, 23503.0)	(210, 24740.0)	(220, 26061.0)	(230, 27146.0)	(240, 28457.0)	(250, 29011.0)	(260, 29822.0)	(270, 29605.0)	(280, 29094.0)	(290, 43405.0)	(300, 384778.0)
SRR27013275_1	(30, 5586.0)	(40, 15828.0)	(50, 18317.0)	(60, 18834.0)	(70, 19382.0)	(80, 19491.0)	(90, 19248.0)	(100, 19539.0)	(110, 19555.0)	(120, 19659.0)	(130, 19691.0)	(140, 20168.0)	(150, 20980.0)	(160, 21535.0)	(170, 21971.0)	(180, 22773.0)	(190, 24307.0)	(200, 25094.0)	(210, 26523.0)	(220, 27702.0)	(230, 29208.0)	(240, 30215.0)	(250, 30903.0)	(260, 31444.0)	(270, 31822.0)	(280, 31546.0)	(290, 60828.0)	(300, 399096.0)
SRR27013275_2	(30, 5607.0)	(40, 15860.0)	(50, 18389.0)	(60, 18932.0)	(70, 19457.0)	(80, 19594.0)	(90, 19357.0)	(100, 19622.0)	(110, 19655.0)	(120, 19769.0)	(130, 19801.0)	(140, 20277.0)	(150, 21019.0)	(160, 21617.0)	(170, 22066.0)	(180, 22866.0)	(190, 24432.0)	(200, 25281.0)	(210, 26647.0)	(220, 27833.0)	(230, 29329.0)	(240, 30369.0)	(250, 31137.0)	(260, 31564.0)	(270, 31937.0)	(280, 31566.0)	(290, 46951.0)	(300, 410311.0)
SRR27013276_1	(30, 2879.0)	(40, 8248.0)	(50, 9424.0)	(60, 10280.0)	(70, 10450.0)	(80, 10532.0)	(90, 10796.0)	(100, 10682.0)	(110, 11125.0)	(120, 10877.0)	(130, 11188.0)	(140, 11475.0)	(150, 11820.0)	(160, 12169.0)	(170, 13051.0)	(180, 13343.0)	(190, 14469.0)	(200, 15100.0)	(210, 16259.0)	(220, 17074.0)	(230, 17608.0)	(240, 18464.0)	(250, 19295.0)	(260, 20122.0)	(270, 20269.0)	(280, 20673.0)	(290, 44065.0)	(300, 323883.0)
SRR27013276_2	(30, 2901.0)	(40, 8279.0)	(50, 9485.0)	(60, 10362.0)	(70, 10537.0)	(80, 10619.0)	(90, 10872.0)	(100, 10781.0)	(110, 11204.0)	(120, 10959.0)	(130, 11322.0)	(140, 11565.0)	(150, 11904.0)	(160, 12270.0)	(170, 13160.0)	(180, 13478.0)	(190, 14561.0)	(200, 15227.0)	(210, 16442.0)	(220, 17265.0)	(230, 17785.0)	(240, 18612.0)	(250, 19505.0)	(260, 20392.0)	(270, 20498.0)	(280, 20713.0)	(290, 33421.0)	(300, 331501.0)
