"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_00944",56.6556603119661,2.23111400392978,0.649054535422077,3.43748311145981,0.000587147333300522,0.427066912759299
"SAOUHSC_02175",322.751012952482,-2.30684125078949,0.674006322431773,-3.42258102634194,0.000620296072411071,0.427066912759299
"SAOUHSC_02196",11.4857129253169,6.93196284306838,2.0925391838972,3.31270396101166,0.0009239872625688,0.427066912759299
"SAOUHSC_02464",15.945345915971,-5.48761071921391,1.64559414492724,-3.33472912268812,0.000853825274764795,0.427066912759299
"SAOUHSC_03026",18.4815367921692,-5.8361911773843,1.66983868025958,-3.49506287426343,0.000473950093077224,0.427066912759299
"SAOUHSC_02176",639.080382100344,-2.15779141022412,0.682064253717202,-3.16361896766222,0.00155820652319266,0.462185790006667
"SAOUHSC_02187",10.1037630067505,6.75178005529319,2.13940442086294,3.15591572563443,0.0015999508091966,0.462185790006667
"SAOUHSC_02193",10.6318617469818,6.82070797804397,2.11994448538996,3.21739933524217,0.00129358412085754,0.462185790006667
"SAOUHSC_00195",21509.8268111015,-2.95891265316579,1.01195142083015,-2.92396709195632,0.00345601281219861,0.671779049063712
"SAOUHSC_00500",361.228126621078,-1.50667745490717,0.508128695616592,-2.96514931729821,0.00302536049177545,0.671779049063712
"SAOUHSC_01705",7.39498302968455,-6.5733351510494,2.2503132252706,-2.9210756428181,0.00348825122837064,0.671779049063712
"SAOUHSC_02874",90.7569360498698,3.58693600103229,1.2260667454514,2.92556340373762,0.00343833103305317,0.671779049063712
"SAOUHSC_00196",13055.6607644898,-2.83655067511306,1.00731631886331,-2.81594829945169,0.00486334923296423,0.77703370421501
"SAOUHSC_02189",7.94466636622537,6.4076725341277,2.26168538344081,2.83314053362249,0.00460931169036025,0.77703370421501
"SAOUHSC_02651",25.440891185717,-4.39336521417858,1.56668500022144,-2.80424285262041,0.0050434900749568,0.77703370421501
"SAOUHSC_00318",500.815357482911,2.21917476091534,0.798922267498225,2.77771048723494,0.00547433705767252,0.790699558767575
"SAOUHSC_00374",205.039778187842,1.54579220891248,0.561851734725319,2.7512457706804,0.00593690825452248,0.807070292717732
"SAOUHSC_00012",47.9300383193477,2.7687513327024,1.01756398143949,2.72096043413959,0.00650925519385581,0.817343776789122
"SAOUHSC_00313",20.9810351149919,2.81925533919626,1.04015491700662,2.71041870119652,0.0067198320030261,0.817343776789122
"SAOUHSC_00334",550.554834880226,-3.0101085761394,1.12736801026008,-2.6700319228013,0.00758440358526505,0.834645556454644
"SAOUHSC_01850",51.1118156508591,1.83690785704497,0.685802055777829,2.67848111793945,0.0073956901888503,0.834645556454644
"SAOUHSC_01333",1854.13076564258,-1.5199692354203,0.58232455807014,-2.61017539850556,0.00904958098535267,0.871399235714584
"SAOUHSC_02182",1658.08668772482,-2.14758138437729,0.820316819772058,-2.61799018697926,0.00884493486541423,0.871399235714584
"SAOUHSC_02656",5.59573375036631,-6.1901543031293,2.37123711012906,-2.61051679593205,0.00904055324070401,0.871399235714584
"SAOUHSC_02233",11.7953171766717,-7.24839436149233,2.79211621239144,-2.59602173051533,0.00943101004502508,0.871802568562118
"SAOUHSC_00061",245.769746538033,-1.89061082029851,0.756459540380607,-2.49928875157985,0.0124442867824527,0.977876286156224
"SAOUHSC_00197",3531.51150633789,-2.33175975725153,0.939675593052477,-2.48145186965744,0.0130848379936289,0.977876286156224
"SAOUHSC_01481",313.691236592858,1.7053368226964,0.674871698211287,2.5269052283809,0.0115072550256655,0.977876286156224
"SAOUHSC_01687",41.0504896248383,2.21758285913265,0.875073505597844,2.53416752415286,0.0112714831695683,0.977876286156224
"SAOUHSC_02112",109.900898881845,-2.24209198794235,0.908002175107333,-2.46925838881093,0.0135393415027316,0.977876286156224
