"","fm_1","fm_2","fm_3","fm_4","m_1","m_2","m_3"
"SAOUHSC_00027",1.17422981285007,0,11.1972279874216,7.13633781795838,5.50321149473768,94.0361883580503,7.19379623808505
"SAOUHSC_00030",0,15.4813537943816,11.1972279874216,7.13633781795838,12.8408268210546,0,0
"SAOUHSC_00031",16.4392173799009,56.7649639127326,0,4.75755854530559,15.5924325684234,2.47463653573817,6.16611106121575
"SAOUHSC_00032",1.17422981285007,15.4813537943816,0,0,2.75160574736884,0,2.74049380498478
"SAOUHSC_00033",5.87114906425034,92.8881227662898,0,7.13633781795838,42.1912881263222,0,9.24916659182363
"SAOUHSC_00034",1.7613447192751,46.4440613831449,0,3.56816890897919,21.0956440631611,0,2.39793207936168
"SAOUHSC_00035",24.0717111634264,103.209025295878,0,11.893896363264,56.866518778956,0,6.16611106121575
"SAOUHSC_00036",184.941195523886,727.623628335936,0,109.423846542028,673.226206189576,0,36.3115429160483
"SAOUHSC_00037",190.812344588136,570.229864759723,0,161.75699054039,427.416092757959,0,49.328888489726
"SAOUHSC_00039",23.4845962570013,113.529927825465,26.8733471698119,38.0604683624447,55.0321149473768,19.7970922859053,13.3599072993008
"SAOUHSC_00043",0,0,13.436673584906,0,0,0,0
"SAOUHSC_00044",1.17422981285007,0,13.436673584906,0,0,0,0
"SAOUHSC_00046",0,0,11.1972279874216,0,0,0,0.685123451246195
"SAOUHSC_00047",1.17422981285007,61.9254151775265,27.9930699685541,19.0302341812223,31.1848651368468,12.3731826786908,0
"SAOUHSC_00049",0,10.3209025295877,4.47889119496865,11.893896363264,11.0064229894754,0,3.42561725623097
"SAOUHSC_00055",7.0453788771004,10.3209025295877,1.11972279874216,9.51511709061117,0.917201915789613,2.47463653573817,2.05537035373859
"SAOUHSC_00056",62.8212949874786,139.332184149435,39.1902979559757,96.3405605424381,85.299778168434,133.630372929861,72.6230858320967
"SAOUHSC_00057",78.0862825545295,5.16045126479387,13.436673584906,118.93896363264,104.561018400016,50.7300489826324,13.0173455736777
"SAOUHSC_00058",174.96024211466,95.4683483986867,55.9861399371082,402.013697078322,207.287632968452,163.326011358719,19.1834566348935
"SAOUHSC_00060",280.053810364741,190.936696797373,309.043492452837,340.165435989349,262.319747915829,367.483525557118,667.652803239417
"SAOUHSC_00061",406.870630152548,98.0485740310836,270.972917295604,654.164299979518,172.433960168447,79.1883691436213,38.70947499541
"SAOUHSC_00065",0,0,23.5141787735854,7.13633781795838,23.8472498105299,14.847819214429,0
"SAOUHSC_00067",64.5826397067537,46.4440613831449,55.9861399371082,111.802625814681,60.5353264421144,44.543457643287,116.470986711853
"SAOUHSC_00069",99.8095340922557,77.4067689719081,335.916839622649,4.75755854530559,42.1912881263222,66.8151864649305,238.765522759299
"SAOUHSC_00070",14.0907577542008,10.3209025295877,125.408953459122,9.51511709061117,11.0064229894754,7.4239096072145,6.16611106121575
