Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
fm_4_R1 - illumina_universal_adapter	(1, 1.3720810861503644e-05)	(2, 1.3720810861503644e-05)	(3, 1.3720810861503644e-05)	(4, 1.3720810861503644e-05)	(5, 1.3720810861503644e-05)	(6, 2.744162172300729e-05)	(7, 2.744162172300729e-05)	(8, 2.744162172300729e-05)	(9, 2.744162172300729e-05)	(10, 4.116243258451093e-05)	(12, 6.860405430751822e-05)	(14, 0.00010976648689202916)	(16, 0.0001509289194765401)	(18, 0.0001852309466302992)	(20, 0.00026069540636856924)	(22, 0.0004939491910141312)	(24, 0.0009947587874590143)	(26, 0.0015641724382114155)	(28, 0.0022639337921481015)	(30, 0.002970555551515539)	(32, 0.004020197582420568)	(34, 0.0050561188024640935)	(36, 0.006393897861460699)	(38, 0.008115859624579405)	(40, 0.010057354361482172)	(42, 0.012170359234153733)	(44, 0.014578361540347622)	(46, 0.017295082090925343)	(48, 0.02115062994300787)	(50, 0.025129665092843922)	(52, 0.030858103627521696)	(54, 0.03750583648992021)	(56, 0.04550506922217684)	(58, 0.053024073574280836)	(60, 0.061304582929198284)	(62, 0.07324168837870645)	(64, 0.08952829087131128)	(66, 0.10194562470097208)	(68, 0.12190940450445988)	(70, 0.1373110146964977)	(72, 0.16319532438672435)	(74, 0.18421560662654793)	(76, 0.21327628403121263)	(78, 0.26477048719443586)	(80, 0.3220480121357828)	(82, 0.36033593484480875)	(84, 0.41003957219060566)	(86, 0.46659675456172367)	(88, 0.5399619302381837)	(90, 0.7208845422579707)	(92, 0.97519291117051)	(94, 1.3665584597786093)	(96, 1.74069066994466)	(98, 2.1926061568845747)	(100, 3.281517148475227)	(102, 4.351959928646295)	(104, 5.627247554574183)	(106, 6.755146230227797)	(108, 8.037918558480634)	(110, 9.350224932112859)	(112, 10.437441403562115)	(114, 12.11777422652702)	(116, 14.031546065084118)	(118, 15.572249056316931)	(120, 16.719933141232836)	(122, 18.53312457576968)	(124, 22.046598892264058)	(126, 24.562906418993222)	(128, 25.957290683198963)	(130, 27.33658205545705)	(132, 29.80774125404644)	(134, 31.476576037509403)	(136, 32.238883707758255)	(138, 34.585938172105344)
fm_4_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003018578389530802)	(4, 0.00038418270412210204)	(5, 0.00038418270412210204)	(6, 0.00038418270412210204)	(7, 0.00038418270412210204)	(8, 0.00038418270412210204)	(9, 0.0003979035149836057)	(10, 0.0003979035149836057)	(12, 0.0003979035149836057)	(14, 0.00041848473127586115)	(16, 0.000425345136706613)	(18, 0.000425345136706613)	(20, 0.000425345136706613)	(22, 0.0004596471638603721)	(24, 0.000500809596444883)	(26, 0.0005213908127371385)	(28, 0.0005351116235986421)	(30, 0.000541972029029394)	(32, 0.0005488324344601458)	(34, 0.0005831344616139049)	(36, 0.0005899948670446567)	(38, 0.0005899948670446567)	(40, 0.0006037156779061604)	(42, 0.0006037156779061604)	(44, 0.0006037156779061604)	(46, 0.000617436488767664)	(48, 0.0006242968941984158)	(50, 0.0006448781104906713)	(52, 0.0006860405430751822)	(54, 0.0006997613539366859)	(56, 0.0007134821647981895)	(58, 0.0007134821647981895)	(60, 0.0007134821647981895)	(62, 0.0007409237865211968)	(64, 0.000809527840828715)	(66, 0.0009192943277207442)	(68, 0.0020444008183640432)	(70, 0.007285750567458435)	(72, 0.008060976381133391)	(74, 0.008136440840871662)	(76, 0.008218765706040684)	(78, 0.00828050935491745)	(80, 0.008328532192932711)	(82, 0.008390275841809479)	(84, 0.008445159085255493)	(86, 0.008520623544993763)	(88, 0.008596088004732032)	(90, 0.008692133680762559)	(92, 0.009014572736007894)	(94, 0.009460499089006764)	(96, 0.010064214766912924)	(98, 0.010928625851187652)	(100, 0.011827338962616141)	(102, 0.01309651396730523)	(104, 0.014372549377425067)	(106, 0.015902419788482725)	(108, 0.01794682060684677)	(110, 0.02018331277727186)	(112, 0.022529571434588985)	(114, 0.02519140874172069)	(116, 0.02839521807788179)	(118, 0.0323811136331486)	(120, 0.037053049731490595)	(122, 0.0429324171856449)	(124, 0.05016328450965732)	(126, 0.05788810102468388)	(128, 0.06603826267641705)	(130, 0.07477841919519487)	(132, 0.08634506275144244)	(134, 0.1027825941635238)	(136, 0.11682584408027277)	(138, 0.13525975347270291)
fm_4_R2 - illumina_universal_adapter	(1, 1.3720810861503644e-05)	(2, 1.3720810861503644e-05)	(3, 1.3720810861503644e-05)	(4, 1.3720810861503644e-05)	(5, 1.3720810861503644e-05)	(6, 2.744162172300729e-05)	(7, 2.744162172300729e-05)	(8, 2.744162172300729e-05)	(9, 2.744162172300729e-05)	(10, 4.116243258451093e-05)	(12, 8.232486516902187e-05)	(14, 0.0001234872977535328)	(16, 0.00016464973033804373)	(18, 0.00019895175749180284)	(20, 0.000308718244383832)	(22, 0.0006448781104906713)	(24, 0.00124173338296608)	(26, 0.0021747485215483277)	(28, 0.0030940428492690717)	(30, 0.003972174744405305)	(32, 0.005207047721940633)	(34, 0.006393897861460699)	(36, 0.008108999219148654)	(38, 0.010208283280958711)	(40, 0.012437915045953055)	(42, 0.01498312546076198)	(44, 0.01772042722763196)	(46, 0.020711563995439754)	(48, 0.0250336194168134)	(50, 0.02936939564904855)	(52, 0.035310506752079626)	(54, 0.042411026372907765)	(56, 0.05076013978213273)	(58, 0.05854669994603605)	(60, 0.06725255443766011)	(62, 0.07967674867275167)	(64, 0.09621032576086355)	(66, 0.10922451486299976)	(68, 0.1297782895335322)	(70, 0.1454748971590924)	(72, 0.17175024995887186)	(74, 0.19324390017341733)	(76, 0.22301805974288025)	(78, 0.2748415623667795)	(80, 0.3328325694729246)	(82, 0.37157327894038017)	(84, 0.42217562939760567)	(86, 0.4791993193380148)	(88, 0.5526330990687822)	(90, 0.7334665258179696)	(92, 0.988131635812908)	(94, 1.3790443976625775)	(96, 1.7527032398539064)	(98, 2.203569084762916)	(100, 3.2893928939097297)	(102, 4.356364308932838)	(104, 5.626705582545153)	(106, 6.748621984663152)	(108, 8.027415277766153)	(110, 9.335351573138988)	(112, 10.41549496658914)	(114, 12.083149760318015)	(116, 13.981842427738322)	(118, 15.505154291204178)	(120, 16.644214846493625)	(122, 18.433175329049057)	(124, 21.902942002544115)	(126, 24.395533107699173)	(128, 25.77310251819414)	(130, 27.135434968227404)	(132, 29.590986744461837)	(134, 31.24614873990131)	(136, 31.991963995494633)	(138, 34.29955054739861)
fm_4_R2 - polyg	(1, 0.03475481391218873)	(2, 0.03570154986163248)	(3, 0.03572899148335549)	(4, 0.035742712294216994)	(5, 0.0357564331050785)	(6, 0.0357564331050785)	(7, 0.03577015391594)	(8, 0.03577015391594)	(9, 0.03577015391594)	(10, 0.035859339186539774)	(12, 0.03592794324084729)	(14, 0.035975966078862553)	(16, 0.03602398891687782)	(18, 0.036058290944031575)	(20, 0.03607201175489308)	(22, 0.03609945337661609)	(24, 0.036113174187477594)	(26, 0.03614747621463135)	(28, 0.036222940674369625)	(30, 0.03623666148523112)	(32, 0.03623666148523112)	(34, 0.03634642797212315)	(36, 0.03637386959384616)	(38, 0.03642189243186142)	(40, 0.03643561324272293)	(42, 0.03644247364815368)	(44, 0.036456194459015184)	(46, 0.03646991526987669)	(48, 0.03649735689159969)	(50, 0.036517938107891945)	(52, 0.036559100540476466)	(54, 0.036565960945907215)	(56, 0.036572821351337964)	(58, 0.03662084418935323)	(60, 0.03665514621650699)	(62, 0.03673061067624525)	(64, 0.036792354325122026)	(66, 0.03684037716313728)	(68, 0.03686095837942954)	(70, 0.036881539595721796)	(72, 0.036908981217444806)	(74, 0.03691584162287556)	(76, 0.03698444567718308)	(78, 0.03701874770433683)	(80, 0.037053049731490595)	(82, 0.03714909540752112)	(84, 0.03721769946182864)	(86, 0.03730688473242841)	(88, 0.037402930408458934)	(90, 0.03756071973336623)	(92, 0.037677346625689)	(94, 0.03779397351801179)	(96, 0.038034087708088096)	(98, 0.03855547852082524)	(100, 0.03924837946933117)	(102, 0.040229417445928686)	(104, 0.04114871177364943)	(106, 0.04230812029144648)	(108, 0.04364589935044309)	(110, 0.045127746923485486)	(112, 0.0470623812549575)	(114, 0.04953212721002816)	(116, 0.052221406138882875)	(118, 0.05518510128496766)	(120, 0.05808019237674493)	(122, 0.062018065093996474)	(124, 0.06642244538053914)	(126, 0.0711698459386194)	(128, 0.07804397218023273)	(130, 0.08502100450330732)	(132, 0.09280756466721066)	(134, 0.09988750307174654)	(136, 0.10919707324127675)	(138, 0.12221126234341295)
m_1_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.4299529674169486e-05)	(8, 1.4299529674169486e-05)	(9, 1.4299529674169486e-05)	(10, 5.0048353859593204e-05)	(12, 8.579717804501693e-05)	(14, 8.579717804501693e-05)	(16, 0.00010724647255627116)	(18, 0.0001501450615787796)	(20, 0.00020734318027545756)	(22, 0.00030743988799464397)	(24, 0.0005147830682701016)	(26, 0.0008937206046355929)	(28, 0.001201160492630237)	(30, 0.0015729482641586435)	(32, 0.0019304365060128807)	(34, 0.002473818633631321)	(36, 0.003031500290923931)	(38, 0.0037822255988178293)	(40, 0.004511501612200474)	(42, 0.005626864926785693)	(44, 0.006599232944629219)	(46, 0.007607349786658167)	(48, 0.0090444525189122)	(50, 0.010996338319436335)	(52, 0.013648901073994775)	(54, 0.017116537019980876)	(56, 0.0214635940409284)	(58, 0.026296835070797685)	(60, 0.03088698409620609)	(62, 0.03792235269589748)	(64, 0.046802360623556735)	(66, 0.05406652169803483)	(68, 0.0633540662214079)	(70, 0.0698246033989696)	(72, 0.08069224595133842)	(74, 0.09171718333012309)	(76, 0.10657439466158519)	(78, 0.13678215109826822)	(80, 0.17009290547424605)	(82, 0.19389447261690118)	(84, 0.22456696376799473)	(86, 0.26926014376461144)	(88, 0.323891496884776)	(90, 0.42586859275611566)	(92, 0.5818407126771193)	(94, 0.7996153998498836)	(96, 1.0147446740329262)	(98, 1.2897174799023685)	(100, 1.9258749560468207)	(102, 2.579334863097018)	(104, 3.3300744705205902)	(106, 4.056590674676119)	(108, 4.960342399378142)	(110, 5.900171837448095)	(112, 6.685730799628269)	(114, 7.9248779928379385)	(116, 9.319618368432245)	(118, 10.493373812441934)	(120, 11.629950479298785)	(122, 13.554209588492425)	(124, 17.562675196050126)	(126, 20.854369728925246)	(128, 22.344323522855007)	(130, 24.206301030552805)	(132, 27.69422800914655)	(134, 29.837920550955157)	(136, 30.56911985107898)	(138, 32.253018165979505)
m_1_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.4299529674169486e-05)	(8, 1.4299529674169486e-05)	(9, 1.4299529674169486e-05)	(10, 5.0048353859593204e-05)	(12, 8.579717804501693e-05)	(14, 0.00010009670771918641)	(16, 0.00013584553190461012)	(18, 0.00017874412092711857)	(20, 0.00023594223962379653)	(22, 0.00038608730120257614)	(24, 0.0007221262485455592)	(26, 0.0012941074355123385)	(28, 0.0017302430905745078)	(30, 0.0022736252181929486)	(32, 0.002766958991951796)	(34, 0.0034104378272894224)	(36, 0.004268409607739592)	(38, 0.005269376684931456)	(40, 0.006170247054404134)	(42, 0.007578750727309827)	(44, 0.008765611690265896)	(46, 0.010059719125778233)	(48, 0.011904358453746097)	(50, 0.014177983671939046)	(52, 0.01706648866612128)	(54, 0.02102745838586623)	(56, 0.025767752472853414)	(58, 0.030879834331369007)	(60, 0.03587751995249125)	(62, 0.04350631903366066)	(64, 0.052550771552572866)	(66, 0.060208169693090625)	(68, 0.0700676954034305)	(70, 0.07680277387996431)	(72, 0.0879635567906536)	(74, 0.09951042700254545)	(76, 0.11454638245493468)	(78, 0.1452760717247249)	(80, 0.17939474952729328)	(82, 0.20364675185468475)	(84, 0.23508426784334635)	(86, 0.2803923276159524)	(88, 0.3354812656856903)	(90, 0.4384593286342219)	(92, 0.5955182128104625)	(94, 0.815259085313425)	(96, 1.0317325152858396)	(98, 1.3084355642458565)	(100, 1.9479820289230867)	(102, 2.6050668667456858)	(104, 3.3614833874499035)	(106, 4.091452928021744)	(108, 5.0007457204725085)	(110, 5.945758738049347)	(112, 6.7329120977881916)	(114, 7.975019293640413)	(116, 9.372018994923238)	(118, 10.545888835170324)	(120, 11.685010818309175)	(122, 13.605652146495249)	(124, 17.61036412751348)	(126, 20.90610542728639)	(128, 22.396859994877907)	(130, 24.25938803446816)	(132, 27.761736088738303)	(134, 29.91357936246119)	(136, 30.64264803266356)	(138, 32.32473030729546)
m_1_R2 - polya	(1, 0.00012869576706752537)	(2, 0.00018589388576420332)	(3, 0.00037178777152840664)	(4, 0.0012440590816527454)	(5, 0.002259325688518779)	(6, 0.003918071130722439)	(7, 0.004804641970520948)	(8, 0.006191696348915388)	(9, 0.007492953549264811)	(10, 0.00934474264206976)	(12, 0.012183199282392403)	(14, 0.01582242958446854)	(16, 0.01941161153268508)	(18, 0.02369432067009884)	(20, 0.026897415317112806)	(22, 0.030586693973048532)	(24, 0.037450468216649886)	(26, 0.0411468966374227)	(28, 0.044743228350476325)	(30, 0.04751018734242812)	(32, 0.050806228932324185)	(34, 0.053401593568185954)	(36, 0.05514613618843463)	(38, 0.05709802198895876)	(40, 0.0588139655498591)	(42, 0.060487010521736925)	(44, 0.06202420996171015)	(46, 0.06460527506789773)	(48, 0.06724353829278201)	(50, 0.06956006209999746)	(52, 0.07091136765420648)	(54, 0.07232702109194927)	(56, 0.07382847170773707)	(58, 0.07525127491031691)	(60, 0.07670982693708221)	(62, 0.07824702637705544)	(64, 0.08003446758632662)	(66, 0.0814429712592323)	(68, 0.08237244068805333)	(70, 0.08330191011687435)	(72, 0.08434577578308872)	(74, 0.08562558368892689)	(76, 0.08683389394639421)	(78, 0.08790635867195692)	(80, 0.08910036939975008)	(82, 0.0901585345956386)	(84, 0.09140259367729137)	(86, 0.09291834382275332)	(88, 0.09407660572636106)	(90, 0.0948487803287662)	(92, 0.09541361175089591)	(94, 0.09600704223237394)	(96, 0.09675061777543076)	(98, 0.09741554590527962)	(100, 0.09840936321763441)	(102, 0.09924588570357332)	(104, 0.09983931618505135)	(106, 0.1008045344380578)	(108, 0.10181980104492383)	(110, 0.10262057470667732)	(112, 0.10363584131354336)	(114, 0.10513014216449407)	(116, 0.10724647255627115)	(118, 0.1087765222314073)	(120, 0.11021362496366131)	(122, 0.113223675960074)	(124, 0.11596203589267745)	(126, 0.11777807616129699)	(128, 0.11983720843437738)	(130, 0.12162464964364857)	(132, 0.12279721107693048)	(134, 0.12375527956509982)	(136, 0.12454175369717915)	(138, 0.12522098135670218)
m_1_R2 - polyg	(1, 0.08804220420386154)	(2, 0.09008703694726777)	(3, 0.09024433177368363)	(4, 0.09027293083303196)	(5, 0.09035872801107699)	(6, 0.0904016266000995)	(7, 0.09043022565944783)	(8, 0.09055892142651537)	(9, 0.09065901813423455)	(10, 0.0908234627254875)	(12, 0.09096645802222919)	(14, 0.09102365614092586)	(16, 0.09106655472994837)	(18, 0.09111660308380796)	(20, 0.09112375284864505)	(22, 0.09116665143766756)	(24, 0.09122384955636424)	(26, 0.09125244861571258)	(28, 0.09127389791022383)	(30, 0.09131679649924634)	(32, 0.0913382457937576)	(34, 0.09135969508826886)	(36, 0.09139544391245427)	(38, 0.09141689320696553)	(40, 0.09144549226631388)	(42, 0.09150269038501055)	(44, 0.09155273873887014)	(46, 0.09160278709272973)	(48, 0.09164568568175224)	(50, 0.09173148285979726)	(52, 0.09173863262463434)	(54, 0.09176723168398268)	(56, 0.09183872933235353)	(58, 0.09186732839170186)	(60, 0.09191737674556145)	(62, 0.09203177298295481)	(64, 0.09210327063132566)	(66, 0.0921747682796965)	(68, 0.09220336733904486)	(70, 0.09225341569290445)	(72, 0.09229631428192694)	(74, 0.09230346404676404)	(76, 0.09231776357643821)	(78, 0.0923678119302978)	(80, 0.09243930957866864)	(82, 0.0925036574622024)	(84, 0.09255370581606201)	(86, 0.09266810205345535)	(88, 0.09278249829084871)	(90, 0.09294694288210167)	(92, 0.09303988982498376)	(94, 0.09317573535688839)	(96, 0.09336877900748966)	(98, 0.09361902077678763)	(100, 0.09406230619668689)	(102, 0.09459138879463115)	(104, 0.09514907045192376)	(106, 0.09568530281470512)	(108, 0.09646462718194736)	(110, 0.09740124637560546)	(112, 0.09838791392312315)	(114, 0.099724919947658)	(116, 0.1010333269128445)	(118, 0.1027278211792336)	(120, 0.10416492391148763)	(122, 0.10608106088782635)	(124, 0.10879797152591855)	(126, 0.11124319110020153)	(128, 0.11507546505287894)	(130, 0.11926522724741061)	(132, 0.12388397533216736)	(134, 0.12833112906083405)	(136, 0.13398659304696808)	(138, 0.14138659965335082)
m_2_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 1.321273803077881e-05)	(6, 1.321273803077881e-05)	(7, 1.321273803077881e-05)	(8, 1.321273803077881e-05)	(9, 1.321273803077881e-05)	(10, 1.321273803077881e-05)	(12, 1.321273803077881e-05)	(14, 2.642547606155762e-05)	(16, 3.9638214092336425e-05)	(18, 5.285095212311524e-05)	(20, 9.248916621545166e-05)	(22, 0.00015194648735395632)	(24, 0.00022461654652323977)	(26, 0.00034353118880024904)	(28, 0.0004492330930464795)	(30, 0.000687062377600498)	(32, 0.0009050725551083484)	(34, 0.0010966572565546413)	(36, 0.0012948483270163232)	(38, 0.0016053476707396253)	(40, 0.0019092406454475378)	(42, 0.002252771834247787)	(44, 0.0026491539751711513)	(46, 0.0033097908767100916)	(48, 0.004287533490987723)	(50, 0.005476679913757816)	(52, 0.00753786704655931)	(54, 0.010748562388038563)	(56, 0.015022883140995504)	(58, 0.01893385359810603)	(60, 0.024450171725956184)	(62, 0.031565231155530574)	(64, 0.0407150522418449)	(66, 0.04793581357566552)	(68, 0.05812944096641137)	(70, 0.06700840092309474)	(72, 0.08017489437076582)	(74, 0.09137929622086624)	(76, 0.10772345316493963)	(78, 0.13918298241622398)	(80, 0.1727763688594791)	(82, 0.19749079534605085)	(84, 0.2309388416709674)	(86, 0.2742303778288142)	(88, 0.3313424379668556)	(90, 0.45290623421903603)	(92, 0.6430375344819431)	(94, 0.9106351178193063)	(96, 1.1759270783702984)	(98, 1.5123167822649117)	(100, 2.277182367759651)	(102, 3.0750797983313367)	(104, 4.007284710985889)	(106, 4.8796359203610145)	(108, 5.924334084609617)	(110, 6.972606294495547)	(112, 7.870629853864475)	(114, 9.211782221309662)	(116, 10.709525353526626)	(118, 11.961181239920332)	(120, 12.980550585363932)	(122, 14.67322784811799)	(124, 18.07792582210317)	(126, 20.60901077023128)	(128, 21.889576127436328)	(130, 23.33510912532467)	(132, 25.890062884705383)	(134, 27.514159430710684)	(136, 28.17604493599353)	(138, 29.883434582544865)
m_2_R2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 1.321273803077881e-05)	(6, 1.321273803077881e-05)	(7, 1.321273803077881e-05)	(8, 1.321273803077881e-05)	(9, 1.321273803077881e-05)	(10, 1.321273803077881e-05)	(12, 1.321273803077881e-05)	(14, 2.642547606155762e-05)	(16, 3.9638214092336425e-05)	(18, 5.285095212311524e-05)	(20, 0.00010570190424623047)	(22, 0.00017176559440012452)	(24, 0.000277467498646355)	(26, 0.0004624458310772583)	(28, 0.000620998687446604)	(30, 0.0009447107692006849)	(32, 0.0012486037439085975)	(34, 0.0015128585045241737)	(36, 0.0017837196341551392)	(38, 0.002186708144093893)	(40, 0.0025434520709249207)	(42, 0.0030653552231406835)	(44, 0.0035542265302794997)	(46, 0.004274320752956945)	(48, 0.005370978009511586)	(50, 0.0066790390745586885)	(52, 0.008839321742591024)	(54, 0.012287846368624292)	(56, 0.01672732634696597)	(58, 0.020691147756199617)	(60, 0.026366018740419113)	(62, 0.03363302465734746)	(64, 0.04303388776624658)	(66, 0.050512297491667385)	(68, 0.0608578713697672)	(70, 0.06991520328986606)	(72, 0.08337237697421429)	(74, 0.09484103358493029)	(76, 0.11146926439666542)	(78, 0.14332517578887313)	(80, 0.17715639151668228)	(82, 0.20209543454977727)	(84, 0.2359927139677403)	(86, 0.2796608131594643)	(88, 0.3370899790102444)	(90, 0.4596381242457178)	(92, 0.6503706040890254)	(94, 0.9177105390347884)	(96, 1.183583860059135)	(98, 1.5203170951425482)	(100, 2.286821060153104)	(102, 3.085920849885591)	(104, 4.020768310146299)	(106, 4.895570482426134)	(108, 5.945461252720833)	(110, 6.9962967337847335)	(112, 7.894373144105784)	(114, 9.235591575241127)	(116, 10.7281024631979)	(118, 11.974486467117327)	(120, 12.99154358340554)	(122, 14.671127022771097)	(124, 18.052907502641887)	(126, 20.57288714445513)	(128, 21.845333274140266)	(130, 23.28320949033977)	(132, 25.837733835734483)	(134, 27.45790619854464)	(136, 28.111936731068194)	(138, 29.809581983321827)
m_2_R2 - polya	(1, 5.285095212311524e-05)	(2, 0.0001585528563693457)	(3, 0.000277467498646355)	(4, 0.0012552101129239869)	(5, 0.0022990164173555126)	(6, 0.003739204862710403)	(7, 0.004598032834711025)	(8, 0.005615413663080993)	(9, 0.006778134609789529)	(10, 0.008475971446744605)	(12, 0.011230827326161989)	(14, 0.015042702248041674)	(16, 0.01840534407687488)	(18, 0.02232952727201619)	(20, 0.02508438315143357)	(22, 0.028486663194359114)	(24, 0.03490144750830222)	(26, 0.03887848165556665)	(28, 0.042089176997045896)	(30, 0.04483742650744789)	(32, 0.048067940955973304)	(34, 0.05089546689455997)	(36, 0.05262633557659199)	(38, 0.05435059788960863)	(40, 0.05606164746459448)	(42, 0.05781233525367268)	(44, 0.05952999119767392)	(46, 0.06194792225730644)	(48, 0.06445834248315442)	(50, 0.0664600722948174)	(52, 0.06782098431198763)	(54, 0.0695188211489427)	(56, 0.07103167965346688)	(58, 0.07225385792131392)	(60, 0.07365440815257647)	(62, 0.0751936921331622)	(64, 0.07649514682919392)	(66, 0.07786266521537952)	(68, 0.07887343967473409)	(70, 0.07973226764673472)	(72, 0.08067037204692001)	(74, 0.08165472103021304)	(76, 0.08266549548956761)	(78, 0.08353092983058363)	(80, 0.08452188518289205)	(82, 0.08537410678587729)	(84, 0.0862329347578779)	(86, 0.08730316653837097)	(88, 0.08819502635544854)	(90, 0.08890190784009522)	(92, 0.08952290652754183)	(94, 0.09022978801218849)	(96, 0.0909102440207736)	(98, 0.09152463633920481)	(100, 0.09219187960975914)	(102, 0.09297143115357509)	(104, 0.09363206805511404)	(106, 0.09443804507499154)	(108, 0.09529687304699216)	(110, 0.09606981822179272)	(112, 0.09701452899099341)	(114, 0.09825652636588661)	(116, 0.09952494921684138)	(118, 0.10037717081982661)	(120, 0.10143418986228891)	(122, 0.10317827128235171)	(124, 0.10452597056149115)	(126, 0.10553674502084573)	(128, 0.10684480608589284)	(130, 0.10784897417623203)	(132, 0.10870780214823264)	(134, 0.10943450273992548)	(136, 0.11000925684426437)	(138, 0.11050473452041856)
m_2_R2 - polyg	(1, 0.06828343014306489)	(2, 0.07005393703918925)	(3, 0.07009357525328158)	(4, 0.07010678799131236)	(5, 0.07012000072934314)	(6, 0.07017285168146625)	(7, 0.07018606441949703)	(8, 0.07023891537162015)	(9, 0.07030497906177405)	(10, 0.07036443638291254)	(12, 0.07048995739420494)	(14, 0.070575840191405)	(16, 0.0705824465604204)	(18, 0.07060226566746657)	(20, 0.07060887203648196)	(22, 0.07062208477451273)	(24, 0.07062208477451273)	(26, 0.07063529751254352)	(28, 0.07066172298860507)	(30, 0.07066832935762046)	(32, 0.07072118030974359)	(34, 0.07074099941678974)	(36, 0.07074099941678974)	(38, 0.07078063763088208)	(40, 0.07079385036891286)	(42, 0.0708268822139898)	(44, 0.07085991405906675)	(46, 0.07088633953512831)	(48, 0.07089955227315908)	(50, 0.07091276501118987)	(52, 0.07093919048725142)	(54, 0.0709590095942976)	(56, 0.07097882870134375)	(58, 0.07105810512952843)	(60, 0.07109113697460538)	(62, 0.07112416881968234)	(64, 0.07116380703377467)	(66, 0.07120344524786701)	(68, 0.07123647709294395)	(70, 0.07124968983097474)	(72, 0.07126950893802089)	(74, 0.07128272167605168)	(76, 0.07130914715211323)	(78, 0.07133557262817479)	(80, 0.07146109363946718)	(82, 0.0715800082817442)	(84, 0.0716394656028827)	(86, 0.07175838024515971)	(88, 0.07185086941137517)	(90, 0.07195657131562139)	(92, 0.07205566685085224)	(94, 0.0721944006001754)	(96, 0.07230010250442165)	(98, 0.072577570003068)	(100, 0.07280218654959124)	(102, 0.07300698398906831)	(104, 0.07335051517786856)	(106, 0.0737601100568227)	(108, 0.07403097118645366)	(110, 0.07448020427950014)	(112, 0.07488319278943889)	(114, 0.0753192131444546)	(116, 0.07597324367697815)	(118, 0.07666030605457866)	(120, 0.07742003849134843)	(122, 0.07890647151981105)	(124, 0.08073643573707391)	(126, 0.08234178340781353)	(128, 0.0852948303576926)	(130, 0.08882923778092594)	(132, 0.0927798464521288)	(134, 0.0967040296472701)	(136, 0.10235908152444342)	(138, 0.10983088488084886)
m_3_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 1.3428698579163118e-05)	(5, 1.3428698579163118e-05)	(6, 1.3428698579163118e-05)	(7, 1.3428698579163118e-05)	(8, 1.3428698579163118e-05)	(9, 1.3428698579163118e-05)	(10, 1.3428698579163118e-05)	(12, 1.3428698579163118e-05)	(14, 2.6857397158326236e-05)	(16, 4.0286095737489354e-05)	(18, 6.71434928958156e-05)	(20, 0.0001141439379228865)	(22, 0.00018800178010828367)	(24, 0.00026857397158326234)	(26, 0.0003290031151894964)	(28, 0.0004431470531123829)	(30, 0.0005572909910352695)	(32, 0.0007385784218539715)	(34, 0.0009870093455684893)	(36, 0.001215297221414262)	(38, 0.001477156843707943)	(40, 0.0018061599588974392)	(42, 0.0022291639641410775)	(44, 0.0028065980030450915)	(46, 0.003988323478011447)	(48, 0.005593052958221439)	(50, 0.0073924985678292966)	(52, 0.010904103246280453)	(54, 0.015496718160354236)	(56, 0.021801492143271324)	(58, 0.02803912263329259)	(60, 0.035868053904944686)	(62, 0.04751744992236869)	(64, 0.06165115517693788)	(66, 0.07307897766780569)	(68, 0.09069071585437812)	(70, 0.10389784090698505)	(72, 0.12484661069047952)	(74, 0.1428074950401102)	(76, 0.16749615737790158)	(78, 0.21191829227777317)	(80, 0.25896573774987114)	(82, 0.29217490933614154)	(84, 0.337530338787265)	(86, 0.3959921780516516)	(88, 0.47362348453779357)	(90, 0.6825606057309925)	(92, 0.9755009508861464)	(94, 1.3870838479882064)	(96, 1.7914421052546765)	(98, 2.3007724993144647)	(100, 3.4698682832671164)	(102, 4.582993251541816)	(104, 5.914697146589553)	(106, 7.084215934547449)	(108, 8.494988006829299)	(110, 9.909063538961624)	(112, 10.975060489572751)	(114, 12.548299671614604)	(116, 14.375932119540126)	(118, 15.736507716533065)	(120, 16.8505122645647)	(122, 18.303531022576596)	(124, 21.529285708722398)	(126, 23.68772743179631)	(128, 24.608969726073347)	(130, 25.733421801599576)	(132, 28.000132406967992)	(134, 29.403417979791957)	(136, 29.860034017579242)	(138, 30.937928795131505)
